element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
389,3,6,3,True,2021-04-11T13:00:00Z,1,0,1,73,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,50,0,399,0,0
389,13,3,3,False,2021-04-18T15:30:00Z,1,0,2,90,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,1,4,50,27,459,38,11
389,19,9,1,False,2021-04-25T13:00:00Z,2,1,3,90,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,4,3,50,-5,458,23,28
389,27,4,1,True,2021-05-02T13:00:00Z,1,1,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,50,-9,453,29,38
389,36,8,2,False,2021-05-08T15:30:00Z,1,0,5,18,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,50,-43,412,7,50
389,47,14,0,True,2021-05-13T15:00:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-26,386,3,29
389,51,5,6,False,2021-05-17T16:30:00Z,2,3,7,77,0,1,0,2,0,0,0,0,0,0,1,0,0,2,1,0,4,49,-44,342,1,45
389,61,16,4,True,2021-05-23T13:00:00Z,0,0,8,71,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,10,49,-8,335,7,15
389,68,2,2,False,2021-07-04T15:30:00Z,1,1,9,78,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,4,48,-6,332,13,19
389,74,7,2,True,2021-07-12T17:00:00Z,0,0,10,76,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,5,48,-13,320,4,17
389,84,13,7,True,2021-07-19T17:00:00Z,1,1,11,82,0,1,0,1,0,0,0,0,0,0,2,0,2,2,2,0,4,48,9,330,18,9
389,96,11,4,False,2021-07-26T17:00:00Z,0,1,12,73,0,0,1,0,0,0,0,0,0,0,1,0,3,2,0,0,4,48,20,352,33,13
389,97,12,2,False,2021-08-02T17:00:00Z,1,0,13,69,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,4,48,22,375,34,12
389,107,1,0,True,2021-08-07T15:30:00Z,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-6,370,12,18
389,116,10,1,False,2021-08-14T15:30:00Z,1,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-12,358,6,18
389,123,9,1,True,2021-08-22T13:00:00Z,2,1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-22,338,3,25
