element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
394,3,6,2,True,2021-04-11T13:00:00Z,1,0,1,74,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,55,0,82,0,0
394,13,3,2,False,2021-04-18T15:30:00Z,1,0,2,90,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,5,55,5,107,15,10
394,19,9,2,False,2021-04-25T13:00:00Z,2,1,3,61,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,55,4,120,14,10
394,27,4,1,True,2021-05-02T13:00:00Z,1,1,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,-2,118,8,10
394,36,8,1,False,2021-05-08T15:30:00Z,1,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,-12,106,0,12
394,47,14,1,True,2021-05-13T15:00:00Z,1,1,6,45,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,55,-6,100,1,7
394,51,5,8,False,2021-05-17T16:30:00Z,2,3,7,90,1,0,0,2,0,0,0,0,0,0,1,0,0,1,1,1,3,54,-10,90,0,10
394,61,16,3,True,2021-05-23T13:00:00Z,0,0,8,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,6,54,8,99,11,3
394,68,2,6,False,2021-07-04T15:30:00Z,1,1,9,90,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,2,54,4,103,10,6
394,74,7,2,True,2021-07-12T17:00:00Z,0,0,10,90,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,54,16,120,17,1
394,84,13,2,True,2021-07-19T17:00:00Z,1,1,11,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,54,17,138,21,4
394,96,11,2,False,2021-07-26T17:00:00Z,0,1,12,73,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,54,14,154,22,8
394,97,12,2,False,2021-08-02T17:00:00Z,1,0,13,69,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,54,13,169,24,11
394,107,1,1,True,2021-08-07T15:30:00Z,0,0,14,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,54,2,172,14,12
394,116,10,1,False,2021-08-14T15:30:00Z,1,1,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,54,-11,161,6,17
394,123,9,6,True,2021-08-22T13:00:00Z,2,1,16,24,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,5,54,-11,151,3,14
