element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
397,7,12,5,False,2021-04-12T17:00:00Z,2,0,1,90,0,0,0,2,0,0,0,0,6,0,0,2,0,0,0,1,12,45,0,2008,0,0
397,11,10,5,True,2021-04-18T13:00:00Z,0,1,2,90,0,0,0,1,0,0,0,0,6,0,0,1,0,0,0,1,11,45,167,2331,205,38
397,24,4,3,False,2021-04-26T16:30:00Z,2,3,3,90,0,0,0,2,0,0,1,0,3,0,0,2,0,0,0,4,12,45,189,2587,261,72
397,32,14,3,False,2021-05-03T16:30:00Z,1,0,4,90,0,0,0,1,0,0,1,0,3,0,0,1,0,0,0,4,11,45,128,2758,198,70
397,37,7,9,True,2021-05-09T13:00:00Z,2,0,5,90,0,0,1,0,0,0,1,0,6,0,0,2,0,0,0,3,15,45,55,2831,154,99
397,48,9,0,False,2021-05-13T16:30:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,64,2913,148,84
397,49,8,8,True,2021-05-18T16:30:00Z,3,0,7,90,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,8,45,101,3026,157,56
397,61,15,9,False,2021-05-23T13:00:00Z,0,0,8,90,0,0,1,0,0,0,0,0,6,0,0,1,0,0,0,1,10,45,230,3273,253,23
397,66,11,4,True,2021-07-03T15:30:00Z,3,1,9,90,0,0,0,1,0,0,0,0,5,0,0,1,0,0,0,0,8,46,455,3790,516,61
397,75,2,3,False,2021-07-11T13:00:00Z,5,1,10,90,0,0,0,5,0,0,0,0,7,0,0,1,0,0,0,1,6,46,193,4003,235,42
397,82,1,2,True,2021-07-17T13:00:00Z,0,5,11,90,0,0,0,5,0,0,0,0,5,0,0,1,0,0,0,0,9,46,105,4126,149,44
397,91,3,2,False,2021-07-24T15:30:00Z,2,0,12,90,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,8,46,169,4307,247,78
397,98,13,4,True,2021-07-31T15:30:00Z,1,1,13,90,0,0,0,1,0,0,0,0,4,0,0,1,0,0,0,1,9,46,66,4392,134,68
397,108,5,5,False,2021-08-08T15:30:00Z,3,0,14,90,0,0,0,3,0,0,0,0,8,0,0,2,0,0,0,1,16,46,8,4412,82,74
397,117,4,0,True,2021-08-14T13:00:00Z,2,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,-235,4191,68,303
397,126,16,0,True,2021-08-21T13:00:00Z,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,-527,3676,33,560
