element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
39,1,1,2,False,2021-04-10T13:00:00Z,3,2,1,90,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,8,2,60,0,1874,0,0
39,9,14,7,True,2021-04-17T13:00:00Z,2,0,2,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8,5,60,58,2114,134,76
39,18,12,2,False,2021-04-25T15:30:00Z,2,0,3,90,0,0,0,2,0,0,1,0,0,0,0,2,0,1,0,7,6,60,-16,2147,45,61
39,28,6,3,True,2021-05-01T15:30:00Z,1,1,4,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,8,60,-46,2124,26,72
39,33,3,2,True,2021-05-08T13:00:00Z,3,2,5,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,6,3,60,-75,2053,25,100
39,45,13,3,False,2021-05-12T16:30:00Z,1,3,6,90,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,5,9,60,-72,1987,10,82
39,50,7,3,True,2021-05-16T15:30:00Z,2,2,7,90,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,17,6,60,-134,1856,3,137
39,62,10,2,False,2021-05-23T13:00:00Z,2,1,8,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,6,4,60,-18,1844,16,34
39,68,15,2,True,2021-07-04T15:30:00Z,1,1,9,90,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,4,59,-20,1829,30,50
39,75,16,3,True,2021-07-11T13:00:00Z,5,1,10,90,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,5,8,59,-24,1807,5,29
39,88,8,7,False,2021-07-18T13:00:00Z,0,2,11,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,7,59,-40,1767,4,44
39,90,9,3,True,2021-07-25T15:30:00Z,2,1,12,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,3,59,-25,1743,5,30
39,104,11,3,False,2021-08-01T15:30:00Z,1,1,13,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,9,59,-26,1718,7,33
39,109,4,7,False,2021-08-08T15:30:00Z,0,0,14,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7,3,59,-21,1698,2,23
39,114,5,3,True,2021-08-15T15:30:00Z,0,2,15,90,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,7,9,59,-14,1685,13,27
39,124,5,1,False,2021-08-22T13:00:00Z,2,2,16,90,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,2,7,59,-33,1656,6,39
