element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
3,1,2,1,True,2021-04-10T13:00:00Z,3,2,1,90,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,5,65,0,1383,0,0
3,10,6,5,False,2021-04-18T13:00:00Z,1,2,2,90,0,0,0,1,0,0,0,0,4,0,0,2,0,0,0,0,16,65,-45,1445,22,67
3,21,11,3,True,2021-04-25T15:30:00Z,1,1,3,90,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,8,65,-3,1486,37,40
3,31,7,3,False,2021-05-03T16:30:00Z,3,1,4,90,0,0,0,3,0,0,0,0,2,0,0,2,0,0,0,0,13,65,-38,1470,12,50
3,38,13,2,True,2021-05-09T15:30:00Z,3,2,5,90,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,6,65,-32,1451,24,56
3,46,12,4,False,2021-05-13T16:30:00Z,1,1,6,90,0,0,0,1,0,0,0,0,4,0,0,1,0,0,0,0,10,65,-55,1399,8,63
3,53,10,4,True,2021-05-17T16:30:00Z,3,1,7,90,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,6,65,66,1468,109,43
3,103,5,4,True,2021-05-20T16:30:00Z,2,1,7,90,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,14,65,66,1468,109,43
3,64,8,3,False,2021-05-24T16:30:00Z,1,2,8,90,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,1,6,65,-8,1466,26,34
3,70,9,0,False,2021-07-03T13:00:00Z,3,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,-41,1435,22,63
3,78,3,0,True,2021-07-10T13:00:00Z,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,-79,1362,7,86
3,82,16,0,False,2021-07-17T13:00:00Z,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,-75,1289,1,76
3,93,14,0,False,2021-07-24T13:00:00Z,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,-53,1238,4,57
3,107,15,0,False,2021-08-07T15:30:00Z,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,-21,1186,1,22
3,117,4,0,True,2021-08-14T13:00:00Z,2,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,-36,1150,0,36
3,126,16,0,True,2021-08-21T13:00:00Z,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,-48,1102,0,48
