element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
401,7,12,1,False,2021-04-12T17:00:00Z,2,0,1,90,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,4,50,0,278,0,0
401,11,10,0,True,2021-04-18T13:00:00Z,0,1,2,43,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,3,50,-8,281,6,14
401,24,4,0,False,2021-04-26T16:30:00Z,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-72,209,0,72
401,32,14,0,False,2021-05-03T16:30:00Z,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-28,181,0,28
401,37,7,0,True,2021-05-09T13:00:00Z,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-11,170,0,11
401,48,9,0,False,2021-05-13T16:30:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-9,161,0,9
401,49,8,1,True,2021-05-18T16:30:00Z,3,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-8,153,0,8
401,61,15,0,False,2021-05-23T13:00:00Z,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-4,150,0,4
401,66,11,1,True,2021-07-03T15:30:00Z,3,1,9,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,49,-2,148,0,2
401,75,2,2,False,2021-07-11T13:00:00Z,5,1,10,78,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,6,5,49,-2,146,0,2
401,82,1,2,True,2021-07-17T13:00:00Z,0,5,11,90,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,10,8,49,1,147,3,2
401,91,3,-1,False,2021-07-24T15:30:00Z,2,0,12,90,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,4,0,49,-2,145,2,4
401,98,13,6,True,2021-07-31T15:30:00Z,1,1,13,78,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,6,2,49,0,145,0,0
401,108,5,1,False,2021-08-08T15:30:00Z,3,0,14,84,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,49,0,145,0,0
401,113,6,6,True,2021-08-15T13:00:00Z,3,0,15,85,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,49,-2,143,0,2
401,126,1,1,False,2021-08-21T13:00:00Z,3,0,16,57,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,49,1,145,2,1
