element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
407,7,12,3,False,2021-04-12T17:00:00Z,2,0,1,90,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,3,13,50,0,70,0,0
407,11,10,2,True,2021-04-18T13:00:00Z,0,1,2,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,5,50,11,87,13,2
407,24,4,2,False,2021-04-26T16:30:00Z,2,3,3,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,10,3,50,-10,79,1,11
407,32,14,3,False,2021-05-03T16:30:00Z,1,0,4,90,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,7,6,50,0,80,2,2
407,37,7,6,True,2021-05-09T13:00:00Z,2,0,5,90,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,5,50,-9,72,0,9
407,48,9,3,False,2021-05-13T16:30:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,6,2,50,-4,68,0,4
407,49,8,11,True,2021-05-18T16:30:00Z,3,0,7,90,0,1,1,0,0,0,1,0,0,0,1,2,0,1,1,6,9,50,9,78,12,3
407,61,15,8,False,2021-05-23T13:00:00Z,0,0,8,90,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,8,7,50,47,132,49,2
407,66,11,2,True,2021-07-03T15:30:00Z,3,1,9,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5,50,120,268,130,10
407,75,2,1,False,2021-07-11T13:00:00Z,5,1,10,90,0,0,0,5,0,0,1,0,0,0,0,2,0,1,0,10,6,50,61,334,82,21
407,82,1,0,True,2021-07-17T13:00:00Z,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-22,315,18,40
407,91,3,1,False,2021-07-24T15:30:00Z,2,0,12,90,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,2,6,50,-14,305,15,29
407,98,13,4,True,2021-07-31T15:30:00Z,1,1,13,90,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3,15,50,-7,298,13,20
407,108,5,3,False,2021-08-08T15:30:00Z,3,0,14,90,0,0,0,3,0,0,0,0,0,0,1,1,0,3,0,2,8,50,-13,286,4,17
407,113,6,10,True,2021-08-15T13:00:00Z,3,0,15,90,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,3,10,50,-4,283,8,12
407,126,1,1,False,2021-08-21T13:00:00Z,3,0,16,90,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,3,5,50,2,287,16,14
