element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
410,7,12,2,False,2021-04-12T17:00:00Z,2,0,1,61,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,50,0,79,0,0
410,11,10,1,True,2021-04-18T13:00:00Z,0,1,2,59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,50,10,94,14,4
410,24,4,11,False,2021-04-26T16:30:00Z,2,3,3,70,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,4,50,-2,95,3,5
410,32,14,2,False,2021-05-03T16:30:00Z,1,0,4,61,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,50,52,154,63,11
410,37,7,3,True,2021-05-09T13:00:00Z,2,0,5,75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,50,24,183,48,24
410,48,9,1,False,2021-05-13T16:30:00Z,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,37,223,45,8
410,49,8,4,True,2021-05-18T16:30:00Z,3,0,7,60,0,0,1,0,0,0,0,0,0,0,1,0,3,2,0,1,3,50,31,257,46,15
410,61,15,4,False,2021-05-23T13:00:00Z,0,0,8,70,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,2,7,50,-3,256,14,17
410,66,11,2,True,2021-07-03T15:30:00Z,3,1,9,60,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,51,3,262,18,15
410,75,2,3,False,2021-07-11T13:00:00Z,5,1,10,67,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,6,51,-9,255,4,13
410,82,1,1,True,2021-07-17T13:00:00Z,0,5,11,56,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,4,51,-6,249,7,13
410,91,3,1,False,2021-07-24T15:30:00Z,2,0,12,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,51,-9,241,2,11
410,98,13,0,True,2021-07-31T15:30:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,-9,233,3,12
410,108,5,0,False,2021-08-08T15:30:00Z,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-23,211,1,24
410,113,6,0,True,2021-08-15T13:00:00Z,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-13,199,0,13
410,126,1,1,False,2021-08-21T13:00:00Z,3,0,16,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-16,185,2,18
