element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
412,7,12,4,False,2021-04-12T17:00:00Z,2,0,1,90,0,0,0,2,0,0,0,0,0,0,1,1,0,4,0,2,7,50,0,215,0,0
412,11,10,2,True,2021-04-18T13:00:00Z,0,1,2,90,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,50,34,284,46,12
412,24,4,3,False,2021-04-26T16:30:00Z,2,3,3,77,0,0,0,2,0,0,0,0,0,0,0,1,1,2,0,3,8,50,-21,271,7,28
412,32,14,3,False,2021-05-03T16:30:00Z,1,0,4,61,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,6,50,-15,259,9,24
412,37,7,3,True,2021-05-09T13:00:00Z,2,0,5,90,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,2,7,50,-15,246,1,16
412,48,9,4,False,2021-05-13T16:30:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,2,15,50,-8,238,0,8
412,49,8,4,True,2021-05-18T16:30:00Z,3,0,7,90,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,2,8,50,-4,236,7,11
412,61,15,4,False,2021-05-23T13:00:00Z,0,0,8,90,0,0,1,0,0,0,1,0,0,0,0,2,0,1,0,4,12,50,14,252,20,6
412,66,11,7,True,2021-07-03T15:30:00Z,3,1,9,90,0,1,0,1,0,0,0,0,0,0,1,1,1,2,1,1,9,49,4,260,12,8
412,75,2,4,False,2021-07-11T13:00:00Z,5,1,10,90,0,0,0,5,0,0,0,0,0,0,1,1,2,4,0,1,9,49,40,301,45,5
412,82,1,2,True,2021-07-17T13:00:00Z,0,5,11,56,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,7,49,54,359,61,7
412,91,3,4,False,2021-07-24T15:30:00Z,2,0,12,90,0,0,0,2,0,0,0,0,0,0,0,2,1,1,0,3,14,49,4,365,24,20
412,98,13,2,True,2021-07-31T15:30:00Z,1,1,13,90,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,9,49,64,430,77,13
412,108,5,0,False,2021-08-08T15:30:00Z,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-19,415,4,23
412,113,6,3,True,2021-08-15T13:00:00Z,3,0,15,90,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,3,5,49,-21,395,10,31
412,126,1,4,False,2021-08-21T13:00:00Z,3,0,16,90,0,0,0,3,0,0,0,0,0,0,2,0,0,3,1,1,3,49,-12,384,8,20
