element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
413,7,12,3,False,2021-04-12T17:00:00Z,2,0,1,90,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,3,9,45,0,1832,0,0
413,11,10,1,True,2021-04-18T13:00:00Z,0,1,2,90,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,3,3,45,13,1898,54,41
413,24,4,2,False,2021-04-26T16:30:00Z,2,3,3,90,0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,4,9,45,-139,1764,26,165
413,32,14,3,False,2021-05-03T16:30:00Z,1,0,4,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,9,45,-106,1661,17,123
413,37,7,5,True,2021-05-09T13:00:00Z,2,0,5,90,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,7,9,45,-69,1593,22,91
413,48,9,2,False,2021-05-13T16:30:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5,45,-6,1587,33,39
413,49,8,3,True,2021-05-18T16:30:00Z,3,0,7,87,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,45,-5,1583,48,53
413,61,15,4,False,2021-05-23T13:00:00Z,0,0,8,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,8,45,-22,1562,14,36
413,66,11,8,True,2021-07-03T15:30:00Z,3,1,9,90,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,7,44,-170,1395,47,217
413,75,2,2,False,2021-07-11T13:00:00Z,5,1,10,67,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,44,91,1496,128,37
413,82,1,2,True,2021-07-17T13:00:00Z,0,5,11,90,0,0,0,5,0,0,1,0,0,0,0,1,0,0,0,1,8,44,79,1581,126,47
413,91,3,0,False,2021-07-24T15:30:00Z,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-35,1548,66,101
413,98,13,3,True,2021-07-31T15:30:00Z,1,1,13,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,7,44,-84,1465,44,128
413,108,5,3,False,2021-08-08T15:30:00Z,3,0,14,90,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,3,6,44,-103,1363,55,158
413,113,6,4,True,2021-08-15T13:00:00Z,3,0,15,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,9,44,-39,1327,41,80
413,126,1,4,False,2021-08-21T13:00:00Z,3,0,16,90,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,3,12,44,-22,1309,64,86
