element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
41,1,1,3,False,2021-04-10T13:00:00Z,3,2,1,90,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,3,9,60,0,683,0,0
41,9,14,3,True,2021-04-17T13:00:00Z,2,0,2,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,60,0,738,43,43
41,18,12,2,False,2021-04-25T15:30:00Z,2,0,3,77,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,3,5,60,-39,710,14,53
41,28,6,3,True,2021-05-01T15:30:00Z,1,1,4,90,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,8,6,60,-26,690,10,36
41,33,3,7,True,2021-05-08T13:00:00Z,3,2,5,90,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,5,60,-26,664,8,34
41,45,13,1,False,2021-05-12T16:30:00Z,1,3,6,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,60,8,679,18,10
41,50,7,1,True,2021-05-16T15:30:00Z,2,2,7,72,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,60,-29,652,5,34
41,62,10,3,False,2021-05-23T13:00:00Z,2,1,8,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,8,59,-32,621,13,45
41,68,15,3,True,2021-07-04T15:30:00Z,1,1,9,90,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,3,11,58,-17,606,8,25
41,75,16,8,True,2021-07-11T13:00:00Z,5,1,10,90,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,2,8,58,1,608,4,3
41,88,8,0,False,2021-07-18T13:00:00Z,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,-18,590,7,25
41,90,9,5,True,2021-07-25T15:30:00Z,2,1,12,90,0,0,0,1,0,0,0,0,0,0,1,2,0,5,0,7,14,58,-38,552,2,40
41,104,11,1,False,2021-08-01T15:30:00Z,1,1,13,90,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,2,4,58,23,577,29,6
41,109,4,3,False,2021-08-08T15:30:00Z,0,0,14,90,0,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,10,58,-4,573,5,9
41,114,5,1,True,2021-08-15T15:30:00Z,0,2,15,56,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,3,3,58,-6,568,7,13
41,124,5,3,False,2021-08-22T13:00:00Z,2,2,16,62,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,8,58,-10,562,3,13
