element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
42,1,1,0,False,2021-04-10T13:00:00Z,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,22,0,0
42,9,14,0,True,2021-04-17T13:00:00Z,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-2,21,1,3
42,18,12,0,False,2021-04-25T15:30:00Z,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-5,16,0,5
42,28,6,0,True,2021-05-01T15:30:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,16,0,0
42,33,3,0,True,2021-05-08T13:00:00Z,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-1,15,0,1
42,45,13,0,False,2021-05-12T16:30:00Z,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-1,14,0,1
42,50,7,0,True,2021-05-16T15:30:00Z,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,14,1,1
42,62,10,0,False,2021-05-23T13:00:00Z,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,14,0,0
42,68,15,0,True,2021-07-04T15:30:00Z,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,14,0,0
42,75,16,0,True,2021-07-11T13:00:00Z,5,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,-1,13,0,1
42,88,8,0,False,2021-07-18T13:00:00Z,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,-2,11,0,2
42,90,9,0,True,2021-07-25T15:30:00Z,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,-1,10,0,1
42,104,11,0,False,2021-08-01T15:30:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,10,0,0
42,109,4,0,False,2021-08-08T15:30:00Z,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,10,0,0
42,114,5,0,True,2021-08-15T15:30:00Z,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,10,0,0
42,124,5,0,False,2021-08-22T13:00:00Z,2,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,10,0,0
