element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
44,1,1,11,False,2021-04-10T13:00:00Z,3,2,1,90,1,1,0,3,0,0,0,0,0,0,1,0,0,1,1,2,4,75,0,961,0,0
44,9,14,3,True,2021-04-17T13:00:00Z,2,0,2,90,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,6,76,1414,3053,1467,53
44,18,12,3,False,2021-04-25T15:30:00Z,2,0,3,90,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,3,11,76,-29,3168,237,266
44,28,6,6,True,2021-05-01T15:30:00Z,1,1,4,90,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,76,5,3246,208,203
44,33,3,11,True,2021-05-08T13:00:00Z,3,2,5,79,1,1,0,1,0,0,0,0,0,0,1,0,0,2,1,2,1,76,419,3735,567,148
44,45,13,2,False,2021-05-12T16:30:00Z,1,3,6,58,0,0,0,1,0,0,0,0,0,0,1,0,4,1,0,1,5,77,1343,5134,1375,32
44,50,7,2,True,2021-05-16T15:30:00Z,2,2,7,90,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,2,9,77,334,5502,562,228
44,62,10,0,False,2021-05-23T13:00:00Z,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,-457,5070,282,739
44,68,15,1,True,2021-07-04T15:30:00Z,1,1,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,78,-139,4945,278,417
44,75,16,0,True,2021-07-11T13:00:00Z,5,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,-866,4081,20,886
44,88,8,0,False,2021-07-18T13:00:00Z,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,-908,3173,1,909
44,90,9,0,True,2021-07-25T15:30:00Z,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,-423,2750,1,424
44,104,11,1,False,2021-08-01T15:30:00Z,1,1,13,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,76,-150,2600,10,160
44,109,4,0,False,2021-08-08T15:30:00Z,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,-31,2570,13,44
44,114,5,0,True,2021-08-15T15:30:00Z,0,2,15,33,0,0,0,1,0,0,1,0,0,0,0,0,1,2,0,0,3,76,-76,2496,5,81
44,124,5,6,False,2021-08-22T13:00:00Z,2,2,16,34,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,76,-45,2455,9,54
