element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
45,1,1,5,False,2021-04-10T13:00:00Z,3,2,1,74,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,4,70,0,7176,0,0
45,9,14,9,True,2021-04-17T13:00:00Z,2,0,2,76,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,6,70,753,8496,894,141
45,18,12,3,False,2021-04-25T15:30:00Z,2,0,3,90,0,0,0,2,0,0,0,0,0,0,1,0,0,3,0,1,4,71,1181,9943,1317,136
45,28,6,2,True,2021-05-01T15:30:00Z,1,1,4,66,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,3,72,694,10774,883,189
45,33,3,8,True,2021-05-08T13:00:00Z,3,2,5,63,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,7,72,-358,10461,341,699
45,45,13,6,False,2021-05-12T16:30:00Z,1,3,6,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,72,203,10710,376,173
45,50,7,6,True,2021-05-16T15:30:00Z,2,2,7,90,0,1,0,2,0,0,0,0,0,0,1,0,1,2,1,0,4,72,211,10964,495,284
45,62,10,2,False,2021-05-23T13:00:00Z,2,1,8,71,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,73,1540,12579,1615,75
45,68,15,3,True,2021-07-04T15:30:00Z,1,1,9,68,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,74,1045,13689,1338,293
45,75,16,9,True,2021-07-11T13:00:00Z,5,1,10,69,1,0,0,1,0,0,0,0,0,0,1,1,0,4,0,0,6,74,202,13917,500,298
45,88,8,4,False,2021-07-18T13:00:00Z,0,2,11,23,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,75,708,14664,846,138
45,90,9,0,True,2021-07-25T15:30:00Z,2,1,12,45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,75,-35,14664,423,458
45,104,11,0,False,2021-08-01T15:30:00Z,1,1,13,31,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,75,-655,14027,241,896
45,109,4,2,False,2021-08-08T15:30:00Z,0,0,14,27,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,3,74,-2390,11650,44,2434
45,114,5,1,True,2021-08-15T15:30:00Z,0,2,15,45,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,73,-1248,10410,48,1296
45,124,5,3,False,2021-08-22T13:00:00Z,2,2,16,72,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6,72,-947,9478,40,987
