element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
49,1,1,1,False,2021-04-10T13:00:00Z,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,437,0,0
49,9,14,3,True,2021-04-17T13:00:00Z,2,0,2,70,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,90,-46,423,8,54
49,18,12,2,False,2021-04-25T15:30:00Z,2,0,3,77,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,3,89,-46,389,2,48
49,28,6,6,True,2021-05-01T15:30:00Z,1,1,4,45,0,1,0,0,0,0,0,0,0,0,2,0,3,4,1,0,3,89,-35,355,1,36
49,33,3,3,True,2021-05-08T13:00:00Z,3,2,5,90,0,0,0,2,0,0,0,0,0,0,0,1,1,2,0,4,6,89,-8,349,9,17
49,45,13,5,False,2021-05-12T16:30:00Z,1,3,6,31,0,1,0,0,0,0,0,0,0,0,1,0,5,2,0,0,0,89,-5,344,3,8
49,50,7,2,True,2021-05-16T15:30:00Z,2,2,7,90,0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,2,7,89,-3,342,4,7
49,62,10,8,False,2021-05-23T13:00:00Z,2,1,8,90,0,1,0,2,0,0,0,0,0,0,2,1,2,4,1,0,6,88,-2,342,11,13
49,68,15,3,True,2021-07-04T15:30:00Z,1,1,9,90,0,0,0,1,0,0,0,0,0,0,1,0,2,3,0,0,4,88,38,385,49,11
49,75,16,10,True,2021-07-11T13:00:00Z,5,1,10,88,1,0,0,1,0,0,0,0,0,0,2,1,3,4,1,2,9,88,83,472,93,10
49,88,8,3,False,2021-07-18T13:00:00Z,0,2,11,90,0,0,1,0,0,0,1,0,0,0,1,0,0,2,1,1,2,88,261,743,268,7
49,90,9,5,True,2021-07-25T15:30:00Z,2,1,12,83,0,0,0,1,0,0,0,0,0,0,2,1,2,5,1,0,7,88,47,796,90,43
49,104,11,4,False,2021-08-01T15:30:00Z,1,1,13,58,0,0,0,1,0,0,0,0,0,0,2,1,3,4,0,1,6,89,130,931,163,33
49,109,4,3,False,2021-08-08T15:30:00Z,0,0,14,63,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,4,89,-68,868,39,107
49,114,5,2,True,2021-08-15T15:30:00Z,0,2,15,45,0,0,0,1,0,0,0,0,0,0,1,0,1,3,0,1,2,88,-85,786,20,105
49,124,5,2,False,2021-08-22T13:00:00Z,2,2,16,71,0,0,0,1,0,0,1,0,0,0,0,1,2,2,0,1,7,88,-73,718,17,90
