element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
51,1,1,2,False,2021-04-10T13:00:00Z,3,2,1,90,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,2,105,0,8856,0,0
51,9,14,6,True,2021-04-17T13:00:00Z,2,0,2,90,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,105,106,9558,323,217
51,18,12,1,False,2021-04-25T15:30:00Z,2,0,3,90,0,0,0,2,0,0,1,0,0,0,0,0,2,1,0,0,0,105,-265,9469,254,519
51,28,6,1,True,2021-05-01T15:30:00Z,1,1,4,90,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,2,105,-890,8636,89,979
51,33,3,10,True,2021-05-08T13:00:00Z,3,2,5,79,0,2,0,1,0,0,0,0,0,0,2,0,1,2,2,1,1,104,-1258,7404,51,1309
51,45,13,3,False,2021-05-12T16:30:00Z,1,3,6,90,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,3,104,76,7501,214,138
51,50,7,11,True,2021-05-16T15:30:00Z,2,2,7,82,1,1,0,2,0,0,0,0,0,0,1,0,0,1,1,1,1,104,-657,6860,28,685
51,62,10,2,False,2021-05-23T13:00:00Z,2,1,8,71,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,104,263,7143,349,86
51,68,15,2,True,2021-07-04T15:30:00Z,1,1,9,21,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,1,1,103,-130,7041,218,348
51,75,16,3,True,2021-07-11T13:00:00Z,5,1,10,88,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,1,4,103,-260,6788,48,308
51,88,8,7,False,2021-07-18T13:00:00Z,0,2,11,86,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,103,-279,6518,37,316
51,90,9,7,True,2021-07-25T15:30:00Z,2,1,12,90,0,1,0,1,0,0,0,0,0,0,2,0,0,3,1,2,3,103,6,6532,160,154
51,104,11,7,False,2021-08-01T15:30:00Z,1,1,13,90,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,103,678,7227,751,73
51,109,4,2,False,2021-08-08T15:30:00Z,0,0,14,62,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,103,-102,7142,153,255
51,114,5,2,True,2021-08-15T15:30:00Z,0,2,15,75,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,3,103,-130,7020,93,223
51,124,5,1,False,2021-08-22T13:00:00Z,2,2,16,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,103,-247,6788,75,322
