element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
53,1,1,7,False,2021-04-10T13:00:00Z,3,2,1,90,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,95,0,9839,0,0
53,9,14,8,True,2021-04-17T13:00:00Z,2,0,2,76,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,95,750,11232,809,59
53,18,12,2,False,2021-04-25T15:30:00Z,2,0,3,90,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,96,640,12105,857,217
53,28,6,3,True,2021-05-01T15:30:00Z,1,1,4,90,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,1,6,96,227,12453,476,249
53,33,3,2,True,2021-05-08T13:00:00Z,3,2,5,90,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,5,96,-426,12076,274,700
53,45,13,7,False,2021-05-12T16:30:00Z,1,3,6,90,0,1,0,1,0,0,0,0,0,0,2,0,0,3,1,3,5,95,-877,11223,57,934
53,50,7,7,True,2021-05-16T15:30:00Z,2,2,7,90,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,2,95,-1175,10061,93,1268
53,62,10,8,False,2021-05-23T13:00:00Z,2,1,8,90,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,6,95,585,10683,744,159
53,68,15,3,True,2021-07-04T15:30:00Z,1,1,9,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,7,96,2048,12794,2234,186
53,75,16,8,True,2021-07-11T13:00:00Z,5,1,10,90,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,4,7,97,422,13236,661,239
53,88,8,3,False,2021-07-18T13:00:00Z,0,2,11,86,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,97,-105,13152,305,410
53,90,9,8,True,2021-07-25T15:30:00Z,2,1,12,90,1,0,0,1,0,0,0,0,0,0,1,0,0,3,0,1,3,96,-936,12238,119,1055
53,104,11,1,False,2021-08-01T15:30:00Z,1,1,13,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,96,404,12660,632,228
53,109,4,3,False,2021-08-08T15:30:00Z,0,0,14,81,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,96,-665,12007,151,816
53,114,5,1,True,2021-08-15T15:30:00Z,0,2,15,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,96,-314,11714,198,512
53,124,5,2,False,2021-08-22T13:00:00Z,2,2,16,90,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,95,-781,10951,147,928
