element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
59,5,9,2,False,2021-04-11T15:30:00Z,1,1,1,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,50,0,731,0,0
59,13,15,8,True,2021-04-18T15:30:00Z,1,0,2,90,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,6,13,50,-26,788,10,36
59,17,6,4,False,2021-04-24T13:00:00Z,1,2,3,90,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,15,5,50,1,803,26,25
59,25,10,2,True,2021-05-01T13:00:00Z,1,1,4,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,4,50,36,858,50,14
59,33,2,1,False,2021-05-08T13:00:00Z,3,2,5,90,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,4,0,50,-27,840,14,41
59,43,5,1,True,2021-05-12T16:30:00Z,0,2,6,90,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,5,50,-18,825,6,24
59,52,4,3,False,2021-05-17T16:30:00Z,2,2,7,90,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,7,9,50,-45,781,2,47
59,58,11,2,False,2021-05-22T15:30:00Z,3,0,8,90,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,4,6,50,-25,757,6,31
59,71,14,2,True,2021-07-04T15:30:00Z,2,1,9,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,4,49,-18,740,3,21
59,78,1,-1,False,2021-07-10T13:00:00Z,4,0,10,90,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,2,4,49,-28,712,2,30
59,83,7,0,False,2021-07-19T17:00:00Z,5,1,11,90,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,2,49,-26,688,1,27
59,91,16,6,True,2021-07-24T15:30:00Z,2,0,12,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,49,-16,672,8,24
59,101,8,2,True,2021-08-02T17:00:00Z,1,2,13,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,5,6,49,16,688,25,9
59,111,13,6,False,2021-08-09T17:00:00Z,0,0,14,90,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,49,-6,683,6,12
59,115,12,3,True,2021-08-16T17:00:00Z,0,1,15,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7,3,49,-8,676,6,14
59,127,8,3,False,2021-08-22T15:30:00Z,1,1,16,90,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,1,9,49,-5,671,7,12
