element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
5,1,2,2,True,2021-04-10T13:00:00Z,3,2,1,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,8,4,75,0,5158,0,0
5,10,6,7,False,2021-04-18T13:00:00Z,1,2,2,90,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,3,75,-151,5325,37,188
5,21,11,1,True,2021-04-25T15:30:00Z,1,1,3,90,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,75,76,5493,155,79
5,31,7,3,False,2021-05-03T16:30:00Z,3,1,4,90,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,12,5,75,-166,5375,34,200
5,38,13,3,True,2021-05-09T15:30:00Z,3,2,5,90,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,10,10,75,-178,5215,63,241
5,46,12,0,False,2021-05-13T16:30:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,-100,5127,87,187
5,53,10,4,True,2021-05-17T16:30:00Z,3,1,7,90,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,8,6,75,-111,5025,218,329
5,103,5,4,True,2021-05-20T16:30:00Z,2,1,7,90,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,12,5,75,-111,5025,218,329
5,64,8,1,False,2021-05-24T16:30:00Z,1,2,8,90,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,4,75,-128,4909,43,171
5,70,9,0,False,2021-07-03T13:00:00Z,3,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,-564,4348,8,572
5,78,3,8,True,2021-07-10T13:00:00Z,4,0,10,90,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,6,7,74,-201,4152,18,219
5,82,16,8,False,2021-07-17T13:00:00Z,0,5,11,90,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,6,10,74,-27,4132,25,52
5,93,14,0,False,2021-07-24T13:00:00Z,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,16,4158,60,44
5,107,15,7,False,2021-08-07T15:30:00Z,0,0,14,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,7,74,-52,3906,12,64
5,117,4,1,True,2021-08-14T13:00:00Z,2,3,15,90,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,3,3,74,32,3947,73,41
5,126,16,8,True,2021-08-21T13:00:00Z,3,0,16,90,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,8,7,74,-11,3946,54,65
