element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
64,5,9,0,False,2021-04-11T15:30:00Z,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,18,0,0
64,13,15,0,True,2021-04-18T15:30:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,-5,13,2,7
64,17,6,0,False,2021-04-24T13:00:00Z,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,-1,12,0,1
64,25,10,0,True,2021-05-01T13:00:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-3,9,0,3
64,33,2,0,False,2021-05-08T13:00:00Z,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-1,8,0,1
64,43,5,0,True,2021-05-12T16:30:00Z,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-1,7,0,1
64,52,4,0,False,2021-05-17T16:30:00Z,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,7,0,0
64,58,11,0,False,2021-05-22T15:30:00Z,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,7,0,0
64,71,14,0,True,2021-07-04T15:30:00Z,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,7,0,0
64,78,1,0,False,2021-07-10T13:00:00Z,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,7,0,0
64,83,7,0,False,2021-07-19T17:00:00Z,5,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,7,0,0
64,91,16,0,True,2021-07-24T15:30:00Z,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,7,0,0
64,101,8,0,True,2021-08-02T17:00:00Z,1,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,7,0,0
64,111,13,0,False,2021-08-09T17:00:00Z,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,7,0,0
64,115,12,0,True,2021-08-16T17:00:00Z,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,8,0,0
64,127,8,0,False,2021-08-22T15:30:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,8,0,0
