element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
66,5,9,0,False,2021-04-11T15:30:00Z,1,1,1,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,55,0,135,0,0
66,13,15,2,True,2021-04-18T15:30:00Z,1,0,2,60,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,2,55,-14,128,0,14
66,17,6,6,False,2021-04-24T13:00:00Z,1,2,3,70,0,1,1,0,0,0,1,0,0,0,1,0,0,2,1,2,3,55,-5,123,1,6
66,25,10,0,True,2021-05-01T13:00:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,-9,114,4,13
66,33,2,2,False,2021-05-08T13:00:00Z,3,2,5,67,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,55,1,115,6,5
66,43,5,2,True,2021-05-12T16:30:00Z,0,2,6,75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,55,-2,113,3,5
66,52,4,1,False,2021-05-17T16:30:00Z,2,2,7,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,55,-2,112,1,3
66,58,11,1,False,2021-05-22T15:30:00Z,3,0,8,53,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,55,-5,107,0,5
66,71,14,2,True,2021-07-04T15:30:00Z,2,1,9,70,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5,54,-4,103,0,4
66,78,1,2,False,2021-07-10T13:00:00Z,4,0,10,84,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,4,54,-1,102,1,2
66,83,7,1,False,2021-07-19T17:00:00Z,5,1,11,45,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,54,-2,100,0,2
66,91,16,6,True,2021-07-24T15:30:00Z,2,0,12,84,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,5,5,54,-2,98,0,2
66,101,8,2,True,2021-08-02T17:00:00Z,1,2,13,64,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,4,54,6,104,8,2
66,111,13,4,False,2021-08-09T17:00:00Z,0,0,14,74,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,6,54,-2,102,0,2
66,115,12,3,True,2021-08-16T17:00:00Z,0,1,15,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,54,-4,98,0,4
66,127,8,2,False,2021-08-22T15:30:00Z,1,1,16,77,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,4,54,1,100,3,2
