element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
67,5,9,0,False,2021-04-11T15:30:00Z,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,58,0,0
67,13,15,0,True,2021-04-18T15:30:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-7,58,0,7
67,17,6,1,False,2021-04-24T13:00:00Z,1,2,3,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,50,-1,59,1,2
67,25,10,3,True,2021-05-01T13:00:00Z,1,1,4,71,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,4,6,50,-1,58,0,1
67,33,2,1,False,2021-05-08T13:00:00Z,3,2,5,85,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,50,-3,55,0,3
67,43,5,2,True,2021-05-12T16:30:00Z,0,2,6,45,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,6,50,1,56,1,0
67,52,4,2,False,2021-05-17T16:30:00Z,2,2,7,90,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,4,7,49,-3,53,0,3
67,58,11,1,False,2021-05-22T15:30:00Z,3,0,8,87,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,2,5,49,0,53,1,1
67,71,14,0,True,2021-07-04T15:30:00Z,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1,54,1,0
67,78,1,0,False,2021-07-10T13:00:00Z,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1,55,1,0
67,83,7,0,False,2021-07-19T17:00:00Z,5,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-2,53,0,2
67,91,16,1,True,2021-07-24T15:30:00Z,2,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,49,-1,52,0,1
67,101,8,1,True,2021-08-02T17:00:00Z,1,2,13,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,49,0,52,0,0
67,111,13,6,False,2021-08-09T17:00:00Z,0,0,14,75,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,1,49,-2,50,0,2
67,115,12,1,True,2021-08-16T17:00:00Z,0,1,15,29,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,3,0,49,1,51,1,0
67,127,8,1,False,2021-08-22T15:30:00Z,1,1,16,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,49,-1,51,0,1
