element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
70,5,9,0,False,2021-04-11T15:30:00Z,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,102,0,0
70,13,15,3,True,2021-04-18T15:30:00Z,1,0,2,90,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,2,50,0,112,3,3
70,17,6,9,False,2021-04-24T13:00:00Z,1,2,3,90,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,8,10,50,4,116,7,3
70,25,10,3,True,2021-05-01T13:00:00Z,1,1,4,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,10,50,161,284,182,21
70,33,2,0,False,2021-05-08T13:00:00Z,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,18,312,54,36
70,43,5,3,True,2021-05-12T16:30:00Z,0,2,6,90,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,1,7,50,-68,246,2,70
70,52,4,3,False,2021-05-17T16:30:00Z,2,2,7,90,0,0,0,2,0,0,1,0,0,0,0,2,0,2,0,11,6,50,-5,241,13,18
70,58,11,3,False,2021-05-22T15:30:00Z,3,0,8,90,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,2,6,50,2,245,13,11
70,71,14,3,True,2021-07-04T15:30:00Z,2,1,9,90,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,6,8,50,-4,242,7,11
70,78,1,1,False,2021-07-10T13:00:00Z,4,0,10,90,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,3,4,50,-12,232,4,16
70,83,7,0,False,2021-07-19T17:00:00Z,5,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-13,220,1,14
70,91,16,5,True,2021-07-24T15:30:00Z,2,0,12,90,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,15,7,50,-11,211,5,16
70,101,8,8,True,2021-08-02T17:00:00Z,1,2,13,90,0,1,0,2,0,0,0,0,0,0,1,2,0,1,1,9,12,50,16,227,20,4
70,111,13,4,False,2021-08-09T17:00:00Z,0,0,14,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,7,50,12,239,16,4
70,115,12,3,True,2021-08-16T17:00:00Z,0,1,15,90,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,7,5,50,-2,239,10,12
70,127,8,2,False,2021-08-22T15:30:00Z,1,1,16,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5,50,14,256,27,13
