element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
72,5,9,6,False,2021-04-11T15:30:00Z,1,1,1,90,0,1,0,1,0,0,1,0,0,0,1,1,0,3,0,3,10,45,0,4357,0,0
72,13,15,4,True,2021-04-18T15:30:00Z,1,0,2,90,0,0,1,0,0,0,1,0,0,0,0,2,0,1,0,6,7,45,216,4832,320,104
72,17,6,3,False,2021-04-24T13:00:00Z,1,2,3,90,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,7,6,45,95,5013,310,215
72,25,10,0,True,2021-05-01T13:00:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-469,4555,70,539
72,33,2,2,False,2021-05-08T13:00:00Z,3,2,5,90,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,5,45,-151,4415,131,282
72,43,5,3,True,2021-05-12T16:30:00Z,0,2,6,84,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,1,13,45,-98,4322,40,138
72,52,4,2,False,2021-05-17T16:30:00Z,2,2,7,90,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,4,45,-97,4227,36,133
72,58,11,2,False,2021-05-22T15:30:00Z,3,0,8,90,0,0,0,3,0,0,1,0,0,0,0,1,0,2,0,4,8,45,-91,4139,14,105
72,71,14,3,True,2021-07-04T15:30:00Z,2,1,9,90,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,7,44,-209,3931,19,228
72,78,1,0,False,2021-07-10T13:00:00Z,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-92,3841,23,115
72,83,7,2,False,2021-07-19T17:00:00Z,5,1,11,90,0,0,0,5,0,0,1,0,0,0,0,1,0,0,0,2,8,44,-126,3717,10,136
72,91,16,0,True,2021-07-24T15:30:00Z,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-154,3563,12,166
72,101,8,2,True,2021-08-02T17:00:00Z,1,2,13,77,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,7,44,-166,3398,11,177
72,111,13,1,False,2021-08-09T17:00:00Z,0,0,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,44,-122,3276,13,135
72,115,12,1,True,2021-08-16T17:00:00Z,0,1,15,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,44,-144,3132,6,150
72,127,8,1,False,2021-08-22T15:30:00Z,1,1,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,44,-96,3037,6,102
