element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
73,5,9,2,False,2021-04-11T15:30:00Z,1,1,1,72,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,80,0,2591,0,0
73,13,15,3,True,2021-04-18T15:30:00Z,1,0,2,76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,80,-75,2645,59,134
73,17,6,0,False,2021-04-24T13:00:00Z,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,-270,2391,13,283
73,25,10,2,True,2021-05-01T13:00:00Z,1,1,4,75,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,79,-592,1804,7,599
73,33,2,0,False,2021-05-08T13:00:00Z,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,-193,1616,7,200
73,43,5,0,True,2021-05-12T16:30:00Z,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,-188,1429,2,190
73,52,4,0,False,2021-05-17T16:30:00Z,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,-138,1291,0,138
73,58,11,0,False,2021-05-22T15:30:00Z,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,-103,1190,1,104
73,71,14,3,True,2021-07-04T15:30:00Z,2,1,9,63,0,0,0,1,0,0,0,0,0,0,1,0,0,5,0,0,4,76,-27,1164,6,33
73,78,1,2,False,2021-07-10T13:00:00Z,4,0,10,59,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,2,76,3,1167,15,12
73,83,7,0,False,2021-07-19T17:00:00Z,5,1,11,45,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,76,-15,1153,5,20
73,91,16,4,True,2021-07-24T15:30:00Z,2,0,12,69,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,1,76,-9,1145,11,20
73,101,8,2,True,2021-08-02T17:00:00Z,1,2,13,90,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,76,5,1151,16,11
73,111,13,3,False,2021-08-09T17:00:00Z,0,0,14,90,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,76,-8,1143,6,14
73,115,12,2,True,2021-08-16T17:00:00Z,0,1,15,90,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,1,76,-11,1132,2,13
73,127,8,3,False,2021-08-22T15:30:00Z,1,1,16,86,0,0,0,1,0,0,0,0,0,0,1,0,1,4,0,0,3,76,-4,1129,9,13
