element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
75,5,9,4,False,2021-04-11T15:30:00Z,1,1,1,90,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,8,6,45,0,425,0,0
75,13,15,6,True,2021-04-18T15:30:00Z,1,0,2,90,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,7,2,45,15,463,28,13
75,17,6,4,False,2021-04-24T13:00:00Z,1,2,3,90,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,6,9,45,9,483,33,24
75,25,10,3,True,2021-05-01T13:00:00Z,1,1,4,90,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,4,45,63,567,83,20
75,33,2,2,False,2021-05-08T13:00:00Z,3,2,5,90,0,0,0,3,0,0,0,0,0,0,0,1,0,2,0,4,7,45,33,606,69,36
75,43,5,2,True,2021-05-12T16:30:00Z,0,2,6,66,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5,45,8,616,21,13
75,52,4,2,False,2021-05-17T16:30:00Z,2,2,7,60,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,8,4,45,-33,584,17,50
75,58,11,2,False,2021-05-22T15:30:00Z,3,0,8,90,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,2,6,45,1,587,21,20
75,71,14,4,True,2021-07-04T15:30:00Z,2,1,9,90,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,10,8,45,1,593,32,31
75,78,1,1,False,2021-07-10T13:00:00Z,4,0,10,68,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,45,26,623,49,23
75,83,7,0,False,2021-07-19T17:00:00Z,5,1,11,90,0,0,0,5,0,0,1,0,0,0,0,1,0,0,0,10,4,45,-10,614,21,31
75,91,16,1,True,2021-07-24T15:30:00Z,2,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,33,650,61,28
75,101,8,0,True,2021-08-02T17:00:00Z,1,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-4,647,29,33
75,111,13,0,False,2021-08-09T17:00:00Z,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-41,606,4,45
75,115,12,0,True,2021-08-16T17:00:00Z,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-45,561,2,47
75,127,8,0,False,2021-08-22T15:30:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-44,519,4,48
