element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
76,5,9,3,False,2021-04-11T15:30:00Z,1,1,1,76,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,6,45,0,187,0,0
76,13,15,0,True,2021-04-18T15:30:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,2,206,5,3
76,17,6,1,False,2021-04-24T13:00:00Z,1,2,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,-19,192,1,20
76,25,10,0,True,2021-05-01T13:00:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-22,171,0,22
76,33,2,6,False,2021-05-08T13:00:00Z,3,2,5,7,0,1,0,0,0,0,0,0,0,0,2,0,0,2,2,0,1,44,-17,155,2,19
76,43,5,0,True,2021-05-12T16:30:00Z,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-10,146,1,11
76,52,4,2,False,2021-05-17T16:30:00Z,2,2,7,60,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,6,6,43,-18,128,0,18
76,58,11,1,False,2021-05-22T15:30:00Z,3,0,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,43,3,133,6,3
76,71,14,1,True,2021-07-04T15:30:00Z,2,1,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,43,-1,133,2,3
76,78,1,1,False,2021-07-10T13:00:00Z,4,0,10,68,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,43,-1,132,2,3
76,83,7,1,False,2021-07-19T17:00:00Z,5,1,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,43,-3,129,1,4
76,91,16,7,True,2021-07-24T15:30:00Z,2,0,12,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,43,-1,128,1,2
76,101,8,1,True,2021-08-02T17:00:00Z,1,2,13,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,43,11,139,13,2
76,111,13,0,False,2021-08-09T17:00:00Z,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,-1,138,2,3
76,115,12,1,True,2021-08-16T17:00:00Z,0,1,15,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,43,-2,136,2,4
76,127,8,0,False,2021-08-22T15:30:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,-3,134,1,4
