element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
90,2,8,7,False,2021-04-10T15:30:00Z,0,0,1,90,0,0,1,0,0,0,0,0,0,0,1,0,2,3,0,1,4,55,0,8967,0,0
90,15,12,6,True,2021-04-19T17:00:00Z,2,0,2,90,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,55,104,9515,258,154
90,24,16,4,True,2021-04-26T16:30:00Z,2,3,3,90,0,1,0,3,0,0,1,0,0,0,1,0,1,2,1,0,5,55,448,10049,639,191
90,27,15,2,False,2021-05-02T13:00:00Z,1,1,4,90,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,3,1,55,62,10175,305,243
90,35,6,2,True,2021-05-08T13:00:00Z,1,1,5,90,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,55,-848,9352,99,947
90,44,10,6,False,2021-05-12T16:30:00Z,0,0,6,90,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,5,55,-490,8871,46,536
90,52,3,3,True,2021-05-17T16:30:00Z,2,2,7,90,0,0,0,2,0,0,0,0,0,0,1,1,3,1,0,1,7,55,-1044,7832,55,1099
90,60,7,8,False,2021-05-23T15:30:00Z,0,0,8,90,0,0,1,0,0,0,0,0,0,0,1,1,3,2,0,1,6,54,-325,7518,45,370
90,69,5,3,True,2021-07-05T17:00:00Z,0,1,9,90,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,3,7,54,-44,7491,296,340
90,80,11,2,False,2021-07-11T15:30:00Z,2,3,10,90,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,5,3,54,137,7637,322,185
90,86,14,7,True,2021-07-18T16:00:00Z,3,2,11,90,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,5,4,54,-4,7648,264,268
90,94,13,3,False,2021-07-26T17:00:00Z,2,0,12,67,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8,4,55,435,8118,596,161
90,100,9,6,True,2021-08-02T17:00:00Z,1,2,13,84,0,1,0,2,0,0,0,0,0,0,2,0,3,3,0,2,3,55,28,8162,255,227
90,109,2,7,True,2021-08-08T15:30:00Z,0,0,14,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,8,55,-96,8079,195,291
90,117,1,2,False,2021-08-14T13:00:00Z,2,3,15,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,7,2,56,343,8447,502,159
90,125,13,1,True,2021-08-23T17:00:00Z,1,2,16,71,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,4,4,56,257,8734,489,232
