element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
96,2,8,3,False,2021-04-10T15:30:00Z,0,0,1,65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,50,0,1506,0,0
96,15,12,1,True,2021-04-19T17:00:00Z,2,0,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,50,25,1617,79,54
96,24,16,6,True,2021-04-26T16:30:00Z,2,3,3,17,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,50,-226,1403,24,250
96,27,15,1,False,2021-05-02T13:00:00Z,1,1,4,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,-54,1357,45,99
96,35,6,1,True,2021-05-08T13:00:00Z,1,1,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-112,1253,27,139
96,44,10,1,False,2021-05-12T16:30:00Z,0,0,6,39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,49,-75,1180,7,82
96,52,3,7,True,2021-05-17T16:30:00Z,2,2,7,86,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,49,-100,1080,7,107
96,60,7,4,False,2021-05-23T15:30:00Z,0,0,8,90,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,6,48,47,1134,65,18
96,69,5,0,True,2021-07-05T17:00:00Z,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-16,1121,42,58
96,80,11,0,False,2021-07-11T15:30:00Z,2,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-46,1077,13,59
96,86,14,0,True,2021-07-18T16:00:00Z,3,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-159,918,1,160
96,94,13,0,False,2021-07-26T17:00:00Z,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,-108,810,1,109
96,100,9,0,True,2021-08-02T17:00:00Z,1,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,-64,746,0,64
96,109,2,0,True,2021-08-08T15:30:00Z,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,-28,718,1,29
96,117,1,0,False,2021-08-14T13:00:00Z,2,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,-26,692,2,28
96,125,13,1,True,2021-08-23T17:00:00Z,1,2,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,-11,683,6,17
