element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
97,2,8,4,False,2021-04-10T15:30:00Z,0,0,1,90,0,0,1,0,0,0,0,0,0,0,1,0,1,2,1,5,2,65,0,1043,0,0
97,15,12,1,True,2021-04-19T17:00:00Z,2,0,2,27,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,65,-28,1058,16,44
97,24,16,1,True,2021-04-26T16:30:00Z,2,3,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,65,-104,959,2,106
97,27,15,1,False,2021-05-02T13:00:00Z,1,1,4,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,64,-111,850,2,113
97,35,6,0,True,2021-05-08T13:00:00Z,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,-108,742,0,108
97,44,10,0,False,2021-05-12T16:30:00Z,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,-104,638,0,104
97,52,3,1,True,2021-05-17T16:30:00Z,2,2,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,63,-54,584,0,54
97,60,7,4,False,2021-05-23T15:30:00Z,0,0,8,69,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,4,4,63,-31,553,0,31
97,69,5,3,True,2021-07-05T17:00:00Z,0,1,9,63,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,62,-8,546,0,8
97,80,11,2,False,2021-07-11T15:30:00Z,2,3,10,24,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,2,1,62,0,546,3,3
97,86,14,1,True,2021-07-18T16:00:00Z,3,2,11,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,62,-3,543,0,3
97,94,13,2,False,2021-07-26T17:00:00Z,2,0,12,67,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,62,-7,536,1,8
97,100,9,2,True,2021-08-02T17:00:00Z,1,2,13,60,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,62,-4,532,0,4
97,109,2,0,True,2021-08-08T15:30:00Z,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,-3,529,0,3
97,117,1,1,False,2021-08-14T13:00:00Z,2,3,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,-3,526,0,3
97,125,13,1,True,2021-08-23T17:00:00Z,1,2,16,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,62,-4,522,0,4
