id,code,team_h,team_h_score,team_a,team_a_score,event,finished,minutes,provisional_start_time,kickoff_time,event_name,is_home,player_id,name,team_id,opponent_team_id,team,opponent_team
232,2270259,13,,1,,29,False,0,False,2022-10-30T16:30:00Z,Omgång 29,False,1,Johan Dahlin,1,13,Malmö FF,Varbergs BoIS
240,2270267,1,,16,,30,False,0,False,2022-11-06T14:00:00Z,Omgång 30,True,1,Johan Dahlin,1,16,Malmö FF,Degerfors IF
232,2270259,13,,1,,29,False,0,False,2022-10-30T16:30:00Z,Omgång 29,False,2,Ismael Diawara,1,13,Malmö FF,Varbergs BoIS
240,2270267,1,,16,,30,False,0,False,2022-11-06T14:00:00Z,Omgång 30,True,2,Ismael Diawara,1,16,Malmö FF,Degerfors IF
232,2270259,13,,1,,29,False,0,False,2022-10-30T16:30:00Z,Omgång 29,False,3,Niklas Moisander,1,13,Malmö FF,Varbergs BoIS
240,2270267,1,,16,,30,False,0,False,2022-11-06T14:00:00Z,Omgång 30,True,3,Niklas Moisander,1,16,Malmö FF,Degerfors IF
232,2270259,13,,1,,29,False,0,False,2022-10-30T16:30:00Z,Omgång 29,False,4,Jonas Knudsen,1,13,Malmö FF,Varbergs BoIS
240,2270267,1,,16,,30,False,0,False,2022-11-06T14:00:00Z,Omgång 30,True,4,Jonas Knudsen,1,16,Malmö FF,Degerfors IF
232,2270259,13,,1,,29,False,0,False,2022-10-30T16:30:00Z,Omgång 29,False,5,Lasse Nielsen,1,13,Malmö FF,Varbergs BoIS
240,2270267,1,,16,,30,False,0,False,2022-11-06T14:00:00Z,Omgång 30,True,5,Lasse Nielsen,1,16,Malmö FF,Degerfors IF
232,2270259,13,,1,,29,False,0,False,2022-10-30T16:30:00Z,Omgång 29,False,6,Eric Larsson,1,13,Malmö FF,Varbergs BoIS
240,2270267,1,,16,,30,False,0,False,2022-11-06T14:00:00Z,Omgång 30,True,6,Eric Larsson,1,16,Malmö FF,Degerfors IF
232,2270259,13,,1,,29,False,0,False,2022-10-30T16:30:00Z,Omgång 29,False,7,Felix Beijmo,1,13,Malmö FF,Varbergs BoIS
240,2270267,1,,16,,30,False,0,False,2022-11-06T14:00:00Z,Omgång 30,True,7,Felix Beijmo,1,16,Malmö FF,Degerfors IF
232,2270259,13,,1,,29,False,0,False,2022-10-30T16:30:00Z,Omgång 29,False,8,Martin Olsson,1,13,Malmö FF,Varbergs BoIS
240,2270267,1,,16,,30,False,0,False,2022-11-06T14:00:00Z,Omgång 30,True,8,Martin Olsson,1,16,Malmö FF,Degerfors IF
232,2270259,13,,1,,29,False,0,False,2022-10-30T16:30:00Z,Omgång 29,False,9,Matej Chalus,1,13,Malmö FF,Varbergs BoIS
240,2270267,1,,16,,30,False,0,False,2022-11-06T14:00:00Z,Omgång 30,True,9,Matej Chalus,1,16,Malmö FF,Degerfors IF
232,2270259,13,,1,,29,False,0,False,2022-10-30T16:30:00Z,Omgång 29,False,10,Markus Björkqvist,1,13,Malmö FF,Varbergs BoIS
240,2270267,1,,16,,30,False,0,False,2022-11-06T14:00:00Z,Omgång 30,True,10,Markus Björkqvist,1,16,Malmö FF,Degerfors IF
232,2270259,13,,1,,29,False,0,False,2022-10-30T16:30:00Z,Omgång 29,False,11,Jo Inge Berget,1,13,Malmö FF,Varbergs BoIS
240,2270267,1,,16,,30,False,0,False,2022-11-06T14:00:00Z,Omgång 30,True,11,Jo Inge Berget,1,16,Malmö FF,Degerfors IF
232,2270259,13,,1,,29,False,0,False,2022-10-30T16:30:00Z,Omgång 29,False,12,Anders Christiansen,1,13,Malmö FF,Varbergs BoIS
240,2270267,1,,16,,30,False,0,False,2022-11-06T14:00:00Z,Omgång 30,True,12,Anders Christiansen,1,16,Malmö FF,Degerfors IF
232,2270259,13,,1,,29,False,0,False,2022-10-30T16:30:00Z,Omgång 29,False,13,Sören Rieks,1,13,Malmö FF,Varbergs BoIS
240,2270267,1,,16,,30,False,0,False,2022-11-06T14:00:00Z,Omgång 30,True,13,Sören Rieks,1,16,Malmö FF,Degerfors IF
232,2270259,13,,1,,29,False,0,False,2022-10-30T16:30:00Z,Omgång 29,False,14,Oscar Lewicki,1,13,Malmö FF,Varbergs BoIS
240,2270267,1,,16,,30,False,0,False,2022-11-06T14:00:00Z,Omgång 30,True,14,Oscar Lewicki,1,16,Malmö FF,Degerfors IF
232,2270259,13,,1,,29,False,0,False,2022-10-30T16:30:00Z,Omgång 29,False,15,Erdal Rakip,1,13,Malmö FF,Varbergs BoIS
240,2270267,1,,16,,30,False,0,False,2022-11-06T14:00:00Z,Omgång 30,True,15,Erdal Rakip,1,16,Malmö FF,Degerfors IF
232,2270259,13,,1,,29,False,0,False,2022-10-30T16:30:00Z,Omgång 29,False,16,Adi Nalic,1,13,Malmö FF,Varbergs BoIS
240,2270267,1,,16,,30,False,0,False,2022-11-06T14:00:00Z,Omgång 30,True,16,Adi Nalic,1,16,Malmö FF,Degerfors IF
227,2270253,2,,10,,29,False,0,False,2022-10-30T16:30:00Z,Omgång 29,False,17,Sebastian Nanasi,10,2,Kalmar FF,Hammarby
239,2270266,10,,17,,30,False,0,False,2022-11-06T14:00:00Z,Omgång 30,True,17,Sebastian Nanasi,10,17,Kalmar FF,GIF Sundsvall
232,2270259,13,,1,,29,False,0,False,2022-10-30T16:30:00Z,Omgång 29,False,18,Romain Gall,1,13,Malmö FF,Varbergs BoIS
240,2270267,1,,16,,30,False,0,False,2022-11-06T14:00:00Z,Omgång 30,True,18,Romain Gall,1,16,Malmö FF,Degerfors IF
225,2270252,16,,18,,29,False,0,False,2022-10-29T13:00:00Z,Omgång 29,False,19,David Edvardsson,18,16,IFK Värnamo,Degerfors IF
237,2270264,18,,4,,30,False,0,False,2022-11-06T14:00:00Z,Omgång 30,True,19,David Edvardsson,18,4,IFK Värnamo,IFK Göteborg
232,2270259,13,,1,,29,False,0,False,2022-10-30T16:30:00Z,Omgång 29,False,20,Patriot Sejdiu,1,13,Malmö FF,Varbergs BoIS
240,2270267,1,,16,,30,False,0,False,2022-11-06T14:00:00Z,Omgång 30,True,20,Patriot Sejdiu,1,16,Malmö FF,Degerfors IF
232,2270259,13,,1,,29,False,0,False,2022-10-30T16:30:00Z,Omgång 29,False,21,Veljko Birmancevic,1,13,Malmö FF,Varbergs BoIS
240,2270267,1,,16,,30,False,0,False,2022-11-06T14:00:00Z,Omgång 30,True,21,Veljko Birmancevic,1,16,Malmö FF,Degerfors IF
232,2270259,13,,1,,29,False,0,False,2022-10-30T16:30:00Z,Omgång 29,False,22,Amel Mujanic,1,13,Malmö FF,Varbergs BoIS
240,2270267,1,,16,,30,False,0,False,2022-11-06T14:00:00Z,Omgång 30,True,22,Amel Mujanic,1,16,Malmö FF,Degerfors IF
232,2270259,13,,1,,29,False,0,False,2022-10-30T16:30:00Z,Omgång 29,False,23,Samuel Adrian,1,13,Malmö FF,Varbergs BoIS
240,2270267,1,,16,,30,False,0,False,2022-11-06T14:00:00Z,Omgång 30,True,23,Samuel Adrian,1,16,Malmö FF,Degerfors IF
232,2270259,13,,1,,29,False,0,False,2022-10-30T16:30:00Z,Omgång 29,False,24,Sergio Peña,1,13,Malmö FF,Varbergs BoIS
240,2270267,1,,16,,30,False,0,False,2022-11-06T14:00:00Z,Omgång 30,True,24,Sergio Peña,1,16,Malmö FF,Degerfors IF
232,2270259,13,,1,,29,False,0,False,2022-10-30T16:30:00Z,Omgång 29,False,25,Ola Toivonen,1,13,Malmö FF,Varbergs BoIS
240,2270267,1,,16,,30,False,0,False,2022-11-06T14:00:00Z,Omgång 30,True,25,Ola Toivonen,1,16,Malmö FF,Degerfors IF
232,2270259,13,,1,,29,False,0,False,2022-10-30T16:30:00Z,Omgång 29,False,26,Abdul Malik Abubakari,1,13,Malmö FF,Varbergs BoIS
240,2270267,1,,16,,30,False,0,False,2022-11-06T14:00:00Z,Omgång 30,True,26,Abdul Malik Abubakari,1,16,Malmö FF,Degerfors IF
232,2270259,13,,1,,29,False,0,False,2022-10-30T16:30:00Z,Omgång 29,False,27,Hugo Larsson,1,13,Malmö FF,Varbergs BoIS
240,2270267,1,,16,,30,False,0,False,2022-11-06T14:00:00Z,Omgång 30,True,27,Hugo Larsson,1,16,Malmö FF,Degerfors IF
226,2270258,17,,3,,29,False,0,False,2022-10-30T14:00:00Z,Omgång 29,True,28,Andreas Andersson,17,3,GIF Sundsvall,IK Sirius
239,2270266,10,,17,,30,False,0,False,2022-11-06T14:00:00Z,Omgång 30,False,28,Andreas Andersson,17,10,GIF Sundsvall,Kalmar FF
226,2270258,17,,3,,29,False,0,False,2022-10-30T14:00:00Z,Omgång 29,True,29,Gustav Molin,17,3,GIF Sundsvall,IK Sirius
239,2270266,10,,17,,30,False,0,False,2022-11-06T14:00:00Z,Omgång 30,False,29,Gustav Molin,17,10,GIF Sundsvall,Kalmar FF
226,2270258,17,,3,,29,False,0,False,2022-10-30T14:00:00Z,Omgång 29,True,30,Oscar Jonsson,17,3,GIF Sundsvall,IK Sirius
239,2270266,10,,17,,30,False,0,False,2022-11-06T14:00:00Z,Omgång 30,False,30,Oscar Jonsson,17,10,GIF Sundsvall,Kalmar FF
226,2270258,17,,3,,29,False,0,False,2022-10-30T14:00:00Z,Omgång 29,True,31,Rasmus Lindkvist,17,3,GIF Sundsvall,IK Sirius
239,2270266,10,,17,,30,False,0,False,2022-11-06T14:00:00Z,Omgång 30,False,31,Rasmus Lindkvist,17,10,GIF Sundsvall,Kalmar FF
226,2270258,17,,3,,29,False,0,False,2022-10-30T14:00:00Z,Omgång 29,True,32,Forrest Lasso,17,3,GIF Sundsvall,IK Sirius
239,2270266,10,,17,,30,False,0,False,2022-11-06T14:00:00Z,Omgång 30,False,32,Forrest Lasso,17,10,GIF Sundsvall,Kalmar FF
230,2270256,9,,7,,29,False,0,False,2022-10-31T18:10:00Z,Omgång 29,True,33,Anton Eriksson,9,7,IFK Norrköping,Djurgården
234,2270261,6,,9,,30,False,0,False,2022-11-06T14:00:00Z,Omgång 30,False,33,Anton Eriksson,9,6,IFK Norrköping,BK Häcken
226,2270258,17,,3,,29,False,0,False,2022-10-30T14:00:00Z,Omgång 29,True,34,Alexander Blomqvist,17,3,GIF Sundsvall,IK Sirius
239,2270266,10,,17,,30,False,0,False,2022-11-06T14:00:00Z,Omgång 30,False,34,Alexander Blomqvist,17,10,GIF Sundsvall,Kalmar FF
226,2270258,17,,3,,29,False,0,False,2022-10-30T14:00:00Z,Omgång 29,True,35,Dennis Olsson,17,3,GIF Sundsvall,IK Sirius
239,2270266,10,,17,,30,False,0,False,2022-11-06T14:00:00Z,Omgång 30,False,35,Dennis Olsson,17,10,GIF Sundsvall,Kalmar FF
226,2270258,17,,3,,29,False,0,False,2022-10-30T14:00:00Z,Omgång 29,True,36,Robert Lundström,17,3,GIF Sundsvall,IK Sirius
239,2270266,10,,17,,30,False,0,False,2022-11-06T14:00:00Z,Omgång 30,False,36,Robert Lundström,17,10,GIF Sundsvall,Kalmar FF
226,2270258,17,,3,,29,False,0,False,2022-10-30T14:00:00Z,Omgång 29,True,37,Teodor Stenshagen,17,3,GIF Sundsvall,IK Sirius
239,2270266,10,,17,,30,False,0,False,2022-11-06T14:00:00Z,Omgång 30,False,37,Teodor Stenshagen,17,10,GIF Sundsvall,Kalmar FF
226,2270258,17,,3,,29,False,0,False,2022-10-30T14:00:00Z,Omgång 29,True,38,Niklas Dahlström,17,3,GIF Sundsvall,IK Sirius
239,2270266,10,,17,,30,False,0,False,2022-11-06T14:00:00Z,Omgång 30,False,38,Niklas Dahlström,17,10,GIF Sundsvall,Kalmar FF
226,2270258,17,,3,,29,False,0,False,2022-10-30T14:00:00Z,Omgång 29,True,39,Marcus Burman,17,3,GIF Sundsvall,IK Sirius
239,2270266,10,,17,,30,False,0,False,2022-11-06T14:00:00Z,Omgång 30,False,39,Marcus Burman,17,10,GIF Sundsvall,Kalmar FF
226,2270258,17,,3,,29,False,0,False,2022-10-30T14:00:00Z,Omgång 29,True,40,Saku Ylätupa,17,3,GIF Sundsvall,IK Sirius
239,2270266,10,,17,,30,False,0,False,2022-11-06T14:00:00Z,Omgång 30,False,40,Saku Ylätupa,17,10,GIF Sundsvall,Kalmar FF
226,2270258,17,,3,,29,False,0,False,2022-10-30T14:00:00Z,Omgång 29,False,41,Daniel Stensson,3,17,IK Sirius,GIF Sundsvall
