element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,winning_goals,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out,name,team_id,team,opponent_team_id
1,6,Kalmar FF,6,False,2022-04-03T15:30:00Z,0,1,1,90,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,5,60,0,4920,0,0,Johan Dahlin,1,Malmö FF,10
1,16,IF Elfsborg,3,True,2022-04-11T17:10:00Z,1,1,2,90,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,6,6,60,201,5787,284,83,Johan Dahlin,1,Malmö FF,5
1,24,AIK,7,True,2022-04-17T13:00:00Z,3,0,3,90,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,12,11,60,39,5997,127,88,Johan Dahlin,1,Malmö FF,12
1,32,IFK Värnamo,7,False,2022-04-21T17:00:00Z,0,0,4,90,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,6,5,60,241,6355,319,78,Johan Dahlin,1,Malmö FF,18
1,39,IFK Göteborg,6,True,2022-04-25T17:10:00Z,1,0,5,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,60,144,6527,244,100,Johan Dahlin,1,Malmö FF,4
1,46,Hammarby,7,False,2022-05-02T17:10:00Z,0,0,6,90,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,10,10,60,178,6427,284,106,Johan Dahlin,1,Malmö FF,2
1,51,Mjällby AIF,1,True,2022-05-07T15:30:00Z,2,0,7,45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,5,60,925,10008,1051,126,Johan Dahlin,1,Malmö FF,14
1,58,AIK,1,False,2022-05-11T17:00:00Z,2,0,7,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,60,925,10008,1051,126,Johan Dahlin,1,Malmö FF,12
1,66,Djurgården,0,False,2022-05-16T17:10:00Z,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,-904,6900,108,1012,Johan Dahlin,1,Malmö FF,7
1,71,BK Häcken,0,True,2022-05-22T15:30:00Z,1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,-775,6137,20,795,Johan Dahlin,1,Malmö FF,6
1,75,Degerfors IF,0,False,2022-05-29T13:00:00Z,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,-535,5604,3,538,Johan Dahlin,1,Malmö FF,16
1,89,Helsingborgs IF,2,True,2022-06-27T17:10:00Z,2,1,11,90,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,9,9,59,-128,5507,88,216,Johan Dahlin,1,Malmö FF,19
2,6,Kalmar FF,0,False,2022-04-03T15:30:00Z,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,1073,0,0,Ismael Diawara,1,Malmö FF,10
2,16,IF Elfsborg,0,True,2022-04-11T17:10:00Z,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-39,1099,19,58,Ismael Diawara,1,Malmö FF,5
2,24,AIK,0,True,2022-04-17T13:00:00Z,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-31,1079,14,45,Ismael Diawara,1,Malmö FF,12
2,32,IFK Värnamo,0,False,2022-04-21T17:00:00Z,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-46,1043,6,52,Ismael Diawara,1,Malmö FF,18
2,39,IFK Göteborg,0,True,2022-04-25T17:10:00Z,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-28,1021,6,34,Ismael Diawara,1,Malmö FF,4
2,46,Hammarby,0,False,2022-05-02T17:10:00Z,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-17,972,11,28,Ismael Diawara,1,Malmö FF,2
2,51,Mjällby AIF,1,True,2022-05-07T15:30:00Z,2,0,7,45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,45,-47,1148,4,51,Ismael Diawara,1,Malmö FF,14
2,58,AIK,3,False,2022-05-11T17:00:00Z,2,0,7,45,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,4,4,45,-47,1148,4,51,Ismael Diawara,1,Malmö FF,12
2,66,Djurgården,0,False,2022-05-16T17:10:00Z,4,0,8,90,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,5,5,45,61,1035,90,29,Ismael Diawara,1,Malmö FF,7
2,71,BK Häcken,3,True,2022-05-22T15:30:00Z,1,2,9,90,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,12,11,45,38,1083,65,27,Ismael Diawara,1,Malmö FF,6
2,75,Degerfors IF,6,False,2022-05-29T13:00:00Z,0,2,10,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,45,87,1184,96,9,Ismael Diawara,1,Malmö FF,16
2,89,Helsingborgs IF,0,True,2022-06-27T17:10:00Z,2,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,16,1199,57,41,Ismael Diawara,1,Malmö FF,19
3,6,Kalmar FF,0,False,2022-04-03T15:30:00Z,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,567,0,0,Niklas Moisander,1,Malmö FF,10
3,16,IF Elfsborg,0,True,2022-04-11T17:10:00Z,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,-154,416,0,154,Niklas Moisander,1,Malmö FF,5
3,24,AIK,0,True,2022-04-17T13:00:00Z,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,-56,361,0,56,Niklas Moisander,1,Malmö FF,12
3,32,IFK Värnamo,0,False,2022-04-21T17:00:00Z,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,-34,327,0,34,Niklas Moisander,1,Malmö FF,18
3,39,IFK Göteborg,0,True,2022-04-25T17:10:00Z,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,-14,313,0,14,Niklas Moisander,1,Malmö FF,4
3,46,Hammarby,0,False,2022-05-02T17:10:00Z,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,-16,298,0,16,Niklas Moisander,1,Malmö FF,2
3,51,Mjällby AIF,0,True,2022-05-07T15:30:00Z,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,-8,289,0,8,Niklas Moisander,1,Malmö FF,14
3,58,AIK,0,False,2022-05-11T17:00:00Z,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,-8,289,0,8,Niklas Moisander,1,Malmö FF,12
