,round,player_name,team_name,opponent_team_name,was_home,total_points
0,1,Johan Dahlin,Malmö FF,Hammarby,True,0
1,2,Johan Dahlin,Malmö FF,BK Häcken,False,0
2,3,Johan Dahlin,Malmö FF,Östersunds FK,True,0
3,4,Johan Dahlin,Malmö FF,Djurgården,False,0
4,5,Johan Dahlin,Malmö FF,Varbergs BoIS,True,0
5,6,Johan Dahlin,Malmö FF,AIK,False,0
6,7,Johan Dahlin,Malmö FF,Kalmar FF,True,0
7,7,Johan Dahlin,Malmö FF,IF Elfsborg,True,0
8,8,Johan Dahlin,Malmö FF,Örebro SK,False,0
9,9,Johan Dahlin,Malmö FF,IFK Norrköping,False,3
10,10,Johan Dahlin,Malmö FF,IK Sirius,True,6
11,11,Johan Dahlin,Malmö FF,Degerfors IF,False,7
12,12,Johan Dahlin,Malmö FF,Mjällby AIF,False,9
13,14,Johan Dahlin,Malmö FF,Halmstads BK,False,7
14,15,Johan Dahlin,Malmö FF,IFK Göteborg,True,2
15,16,Johan Dahlin,Malmö FF,Degerfors IF,True,6
0,1,Mathias Nilsson,Malmö FF,Hammarby,True,0
1,2,Mathias Nilsson,Malmö FF,BK Häcken,False,0
2,3,Mathias Nilsson,Malmö FF,Östersunds FK,True,0
3,4,Mathias Nilsson,Malmö FF,Djurgården,False,0
4,5,Mathias Nilsson,Malmö FF,Varbergs BoIS,True,0
5,6,Mathias Nilsson,Malmö FF,AIK,False,0
6,7,Mathias Nilsson,Malmö FF,Kalmar FF,True,0
7,7,Mathias Nilsson,Malmö FF,IF Elfsborg,True,0
8,8,Mathias Nilsson,Malmö FF,Örebro SK,False,0
9,9,Mathias Nilsson,Malmö FF,IFK Norrköping,False,0
10,10,Mathias Nilsson,Malmö FF,IK Sirius,True,0
11,11,Mathias Nilsson,Malmö FF,Degerfors IF,False,0
12,12,Mathias Nilsson,Malmö FF,Mjällby AIF,False,0
13,14,Mathias Nilsson,Malmö FF,Halmstads BK,False,0
14,15,Mathias Nilsson,Malmö FF,IFK Göteborg,True,0
15,16,Mathias Nilsson,Malmö FF,Degerfors IF,True,0
0,1,Marko Johansson,Malmö FF,Hammarby,True,1
1,2,Marko Johansson,Malmö FF,BK Häcken,False,5
2,3,Marko Johansson,Malmö FF,Östersunds FK,True,3
3,4,Marko Johansson,Malmö FF,Djurgården,False,3
4,5,Marko Johansson,Malmö FF,Varbergs BoIS,True,2
5,6,Marko Johansson,Malmö FF,AIK,False,4
6,7,Marko Johansson,Malmö FF,Kalmar FF,True,4
7,7,Marko Johansson,Malmö FF,IF Elfsborg,True,4
8,8,Marko Johansson,Malmö FF,Örebro SK,False,3
9,9,Marko Johansson,Malmö FF,IFK Norrköping,False,0
10,10,Marko Johansson,Malmö FF,IK Sirius,True,0
