element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
109,2,8,1,False,2021-04-10T15:30:00Z,0.0,0.0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,936,0,0
109,15,12,0,True,2021-04-19T17:00:00Z,2.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,-82,951,9,91
109,24,16,0,True,2021-04-26T16:30:00Z,2.0,3.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,-171,792,20,191
109,27,15,0,False,2021-05-02T13:00:00Z,1.0,1.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,-92,703,5,97
109,35,6,0,True,2021-05-08T13:00:00Z,1.0,1.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,-101,603,24,125
109,44,10,0,False,2021-05-12T16:30:00Z,0.0,0.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,-29,574,0,29
109,52,3,0,True,2021-05-17T16:30:00Z,2.0,2.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,-15,559,0,15
109,60,7,0,False,2021-05-23T15:30:00Z,0.0,0.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,-20,540,0,20
109,69,5,1,True,2021-07-05T17:00:00Z,0.0,1.0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,83,3,543,12,9
109,80,11,6,False,2021-07-11T15:30:00Z,2.0,3.0,10,34,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,3,0,83,-4,539,1,5
109,86,14,1,True,2021-07-18T16:00:00Z,3.0,2.0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,2,542,10,8
109,94,13,1,False,2021-07-26T17:00:00Z,2.0,0.0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,-15,528,1,16
109,100,9,0,True,2021-08-02T17:00:00Z,1.0,2.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,-1,528,0,1
109,109,2,1,True,2021-08-08T15:30:00Z,0.0,0.0,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,83,-5,525,0,5
109,117,1,1,False,2021-08-14T13:00:00Z,2.0,3.0,15,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,83,-1,524,1,2
109,125,13,0,True,2021-08-23T17:00:00Z,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,-1,524,0,1
