element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
10,1,2,0,True,2021-04-10T13:00:00Z,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,1707,0,0
10,10,6,0,False,2021-04-18T13:00:00Z,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,-288,1514,10,298
10,21,11,0,True,2021-04-25T15:30:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,-264,1257,2,266
10,31,7,0,False,2021-05-03T16:30:00Z,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,-138,1124,1,139
10,38,13,2,True,2021-05-09T15:30:00Z,3,2,5,90,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,5,6,58,-78,1048,3,81
10,46,12,0,False,2021-05-13T16:30:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,-15,1034,5,20
10,53,10,4,True,2021-05-17T16:30:00Z,3,1,7,90,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,6,14,58,-35,999,0,35
10,103,5,0,True,2021-05-20T16:30:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,-35,999,0,35
10,64,8,3,False,2021-05-24T16:30:00Z,1,2,8,90,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,5,6,58,-13,988,4,17
10,70,9,2,False,2021-07-03T13:00:00Z,3,2,9,83,0,0,0,3,0,0,0,0,0,0,0,1,1,1,0,1,9,57,-3,988,11,14
10,78,3,6,True,2021-07-10T13:00:00Z,4,0,10,90,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,3,57,10,1002,16,6
10,82,16,1,False,2021-07-17T13:00:00Z,0,5,11,40,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,57,27,1037,29,2
10,93,14,1,False,2021-07-24T13:00:00Z,0,2,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,57,4,1042,22,18
10,107,15,5,False,2021-08-07T15:30:00Z,0,0,14,90,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,4,57,9,1024,14,5
10,117,4,1,True,2021-08-14T13:00:00Z,2,3,15,76,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,3,3,57,7,1031,15,8
10,126,16,10,True,2021-08-21T13:00:00Z,3,0,16,90,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,2,8,57,43,1075,54,11
