element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
114,4,7,0,True,2021-04-11T15:30:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,645,0,0
114,16,13,0,False,2021-04-19T17:00:00Z,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,-106,545,1,107
114,23,14,0,True,2021-04-26T16:30:00Z,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,-43,504,0,43
114,26,12,0,False,2021-05-02T15:30:00Z,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,-35,471,1,36
114,34,10,9,True,2021-05-08T15:30:00Z,2,2,5,90,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,12,5,59,-31,440,5,36
114,43,3,0,False,2021-05-12T16:30:00Z,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,59,502,63,4
114,51,15,1,True,2021-05-17T16:30:00Z,2,3,7,90,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,4,59,-21,482,18,39
114,103,1,2,False,2021-05-20T16:30:00Z,2,1,7,90,0,0,0,2,0,0,1,0,0,0,0,2,1,0,0,7,7,59,-21,482,18,39
114,63,9,0,True,2021-05-24T16:30:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,-16,467,5,21
114,69,4,6,False,2021-07-05T17:00:00Z,0,1,9,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3,59,1,469,9,8
114,76,8,2,True,2021-07-11T15:30:00Z,2,1,10,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,5,59,8,477,13,5
114,85,11,11,True,2021-07-17T15:30:00Z,3,0,11,90,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,9,4,59,1,480,4,3
114,89,6,1,False,2021-07-25T15:30:00Z,1,1,12,90,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,5,59,6,487,8,2
114,108,16,13,True,2021-08-08T15:30:00Z,3,0,14,90,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8,5,59,5,482,10,5
114,114,2,7,False,2021-08-15T15:30:00Z,0,2,15,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,7,59,148,645,151,3
114,124,2,1,True,2021-08-22T13:00:00Z,2,2,16,90,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,3,59,54,711,77,23
