element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
118,4,7,3,True,2021-04-11T15:30:00Z,0,2,1,90,0,0,0,2,0,0,0,0,0,0,0,2,1,1,0,6,6,55,0,988,0,0
118,16,13,4,False,2021-04-19T17:00:00Z,1,3,2,90,0,0,0,1,0,0,0,0,0,0,0,2,1,2,0,13,10,55,98,1164,136,38
118,23,14,8,True,2021-04-26T16:30:00Z,1,0,3,90,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,7,10,55,74,1253,125,51
118,26,12,5,False,2021-05-02T15:30:00Z,1,0,4,90,0,0,0,1,0,0,0,0,0,0,2,1,3,2,1,5,10,55,43,1307,102,59
118,34,10,3,True,2021-05-08T15:30:00Z,2,2,5,90,0,0,0,2,0,0,0,0,0,0,0,2,1,2,0,5,15,55,639,1958,707,68
118,43,3,7,False,2021-05-12T16:30:00Z,0,2,6,90,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,6,10,56,514,2477,564,50
118,51,15,2,True,2021-05-17T16:30:00Z,2,3,7,90,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,4,6,57,2078,4574,2114,36
118,103,1,7,False,2021-05-20T16:30:00Z,2,1,7,90,0,1,0,2,0,0,0,0,0,0,1,2,0,1,1,6,9,57,2078,4574,2114,36
118,63,9,7,True,2021-05-24T16:30:00Z,1,0,8,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,9,57,16,4611,251,235
118,69,4,8,False,2021-07-05T17:00:00Z,0,1,9,90,0,0,1,0,0,0,0,0,0,0,0,2,2,2,0,7,9,58,439,5102,706,267
118,76,8,3,True,2021-07-11T15:30:00Z,2,1,10,90,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,3,7,59,1546,6682,1594,48
118,85,11,7,True,2021-07-17T15:30:00Z,3,0,11,90,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,3,10,60,769,7483,871,102
118,89,6,3,False,2021-07-25T15:30:00Z,1,1,12,90,0,0,0,1,0,0,1,0,0,0,1,1,3,0,0,3,8,61,530,8058,781,251
118,108,16,9,True,2021-08-08T15:30:00Z,3,0,14,90,0,0,1,0,0,0,0,0,0,0,1,2,1,3,0,7,9,61,447,8262,565,118
118,114,2,6,False,2021-08-15T15:30:00Z,0,2,15,90,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,4,5,63,1976,10268,2066,90
118,124,2,2,True,2021-08-22T13:00:00Z,2,2,16,90,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,6,4,64,861,11164,991,130
