element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
120,4,7,2,True,2021-04-11T15:30:00Z,0,2,1,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,8,4,55,0,170,0,0
120,16,13,9,False,2021-04-19T17:00:00Z,1,3,2,90,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,9,1,55,84,281,93,9
120,23,14,8,True,2021-04-26T16:30:00Z,1,0,3,90,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,10,7,55,264,575,297,33
120,26,12,3,False,2021-05-02T15:30:00Z,1,0,4,90,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,5,6,55,303,901,347,44
120,34,10,2,True,2021-05-08T15:30:00Z,2,2,5,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,8,5,56,607,1531,713,106
120,43,3,7,False,2021-05-12T16:30:00Z,0,2,6,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,6,56,310,1851,384,74
120,51,15,0,True,2021-05-17T16:30:00Z,2,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,1674,3552,1725,51
120,103,1,0,False,2021-05-20T16:30:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,1674,3552,1725,51
120,63,9,0,True,2021-05-24T16:30:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,-1485,2068,11,1496
120,69,4,6,False,2021-07-05T17:00:00Z,0,1,9,90,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,4,6,56,-288,1780,39,327
120,76,8,3,True,2021-07-11T15:30:00Z,2,1,10,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,10,56,-41,1740,54,95
120,85,11,10,True,2021-07-17T15:30:00Z,3,0,11,90,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,5,11,56,-77,1665,29,106
120,89,6,2,False,2021-07-25T15:30:00Z,1,1,12,90,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,5,56,60,1733,151,91
120,108,16,8,True,2021-08-08T15:30:00Z,3,0,14,90,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,6,6,55,24,1549,75,51
120,114,2,1,False,2021-08-15T15:30:00Z,0,2,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,55,88,1647,124,36
120,124,2,0,True,2021-08-22T13:00:00Z,2,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,-217,1435,22,239
