element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
128,4,7,0,True,2021-04-11T15:30:00Z,0,2,1,24,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,50,0,198,0,0
128,16,13,1,False,2021-04-19T17:00:00Z,1,3,2,72,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,3,2,50,-17,201,2,19
128,23,14,1,True,2021-04-26T16:30:00Z,1,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,50,-15,188,3,18
128,26,12,1,False,2021-05-02T15:30:00Z,1,0,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49,-10,179,3,13
128,34,10,1,True,2021-05-08T15:30:00Z,2,2,5,81,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,5,49,-7,172,1,8
128,43,3,0,False,2021-05-12T16:30:00Z,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-12,161,0,12
128,51,15,1,True,2021-05-17T16:30:00Z,2,3,7,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,49,-9,152,0,9
128,103,1,1,False,2021-05-20T16:30:00Z,2,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-9,152,0,9
128,63,9,1,True,2021-05-24T16:30:00Z,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49,-5,147,0,5
128,69,4,1,False,2021-07-05T17:00:00Z,0,1,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48,-5,143,1,6
128,76,8,1,True,2021-07-11T15:30:00Z,2,1,10,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-1,142,1,2
128,85,11,1,True,2021-07-17T15:30:00Z,3,0,11,19,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,48,-3,139,0,3
128,89,6,1,False,2021-07-25T15:30:00Z,1,1,12,56,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,48,0,139,0,0
128,108,16,1,True,2021-08-08T15:30:00Z,3,0,14,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,48,0,138,0,0
128,114,2,0,False,2021-08-15T15:30:00Z,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-1,138,0,1
128,124,2,1,True,2021-08-22T13:00:00Z,2,2,16,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,48,-1,137,1,2
