element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
134,4,7,1,True,2021-04-11T15:30:00Z,0,2,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50,0,854,0,0
134,16,13,15,False,2021-04-19T17:00:00Z,1,3,2,90,2,1,0,1,0,0,1,0,0,0,0,1,0,1,0,2,7,50,-10,896,56,66
134,23,14,7,True,2021-04-26T16:30:00Z,1,0,3,76,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,52,4682,5765,4753,71
134,26,12,0,False,2021-05-02T15:30:00Z,1,0,4,59,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,53,2416,8336,2553,137
134,34,10,1,True,2021-05-08T15:30:00Z,2,2,5,45,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,54,1451,9888,1846,395
134,43,3,7,False,2021-05-12T16:30:00Z,0,2,6,77,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,4,54,-469,9456,445,914
134,51,15,2,True,2021-05-17T16:30:00Z,2,3,7,90,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,3,55,3053,12565,3157,104
134,103,1,2,False,2021-05-20T16:30:00Z,2,1,7,90,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,2,55,3053,12565,3157,104
134,63,9,1,True,2021-05-24T16:30:00Z,1,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,55,-1231,11369,170,1401
134,69,4,1,False,2021-07-05T17:00:00Z,0,1,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54,-1026,10352,161,1187
134,76,8,4,True,2021-07-11T15:30:00Z,2,1,10,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,-1610,8747,71,1681
134,85,11,1,True,2021-07-17T15:30:00Z,3,0,11,70,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,52,-583,8171,174,757
134,89,6,0,False,2021-07-25T15:30:00Z,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,-1298,6879,104,1402
134,108,16,11,True,2021-08-08T15:30:00Z,3,0,14,90,1,1,1,0,0,0,0,0,0,0,1,0,0,2,1,4,3,51,-206,5616,98,304
134,114,2,1,False,2021-08-15T15:30:00Z,0,2,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,66,5689,271,205
134,124,2,3,True,2021-08-22T13:00:00Z,2,2,16,45,0,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,51,-200,5499,154,354
