element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
137,3,15,0,False,2021-04-11T13:00:00Z,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,676,0,0
137,10,1,0,True,2021-04-18T13:00:00Z,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,24,777,34,10
137,17,3,0,True,2021-04-24T13:00:00Z,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,25,816,36,11
137,28,2,0,False,2021-05-01T15:30:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-2,820,15,17
137,35,4,0,False,2021-05-08T13:00:00Z,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,11,838,22,11
137,41,8,0,True,2021-05-12T16:30:00Z,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,841,11,11
137,54,14,0,False,2021-05-17T16:30:00Z,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-8,836,3,11
137,59,13,0,True,2021-05-23T15:30:00Z,3,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-5,832,2,7
137,65,12,0,True,2021-07-04T13:00:00Z,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-9,823,1,10
137,77,10,0,False,2021-07-12T17:00:00Z,2,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-2,821,3,5
137,87,9,0,False,2021-07-18T13:00:00Z,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-4,817,2,6
137,89,5,0,True,2021-07-25T15:30:00Z,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-10,807,0,10
137,99,7,0,False,2021-08-01T13:00:00Z,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-7,800,0,7
137,105,11,0,True,2021-08-08T13:00:00Z,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-6,795,0,6
137,113,16,0,False,2021-08-15T13:00:00Z,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-8,787,2,10
137,121,12,0,False,2021-08-22T15:30:00Z,2,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-8,779,1,9
