element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
138,3,15,2,False,2021-04-11T13:00:00Z,1,0,1,90,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,5,65,0,4291,0,0
138,10,1,2,True,2021-04-18T13:00:00Z,1,2,2,90,0,0,0,2,0,0,1,0,5,0,0,1,0,0,0,2,8,65,-119,4395,31,150
138,17,3,3,True,2021-04-24T13:00:00Z,1,2,3,90,0,0,0,2,0,0,0,0,3,0,0,1,0,0,0,1,8,65,-194,4255,18,212
138,28,2,3,False,2021-05-01T15:30:00Z,1,1,4,90,0,0,0,1,0,0,1,0,5,0,0,1,0,0,0,1,6,65,-443,3822,5,448
138,35,4,5,False,2021-05-08T13:00:00Z,1,1,5,90,0,0,0,1,0,0,0,0,6,0,0,1,0,0,0,1,10,64,-242,3594,6,248
138,41,8,4,True,2021-05-12T16:30:00Z,2,3,6,90,0,0,0,3,0,0,0,0,4,0,0,2,0,0,0,0,13,64,-41,3569,30,71
138,54,14,3,False,2021-05-17T16:30:00Z,1,1,7,90,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,2,9,64,-183,3394,8,191
138,59,13,3,True,2021-05-23T15:30:00Z,3,1,8,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,8,64,-78,3324,29,107
138,65,12,0,True,2021-07-04T13:00:00Z,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,-383,2947,4,387
138,77,10,0,False,2021-07-12T17:00:00Z,2,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,-394,2553,0,394
138,87,9,0,False,2021-07-18T13:00:00Z,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,-198,2355,0,198
138,89,5,0,True,2021-07-25T15:30:00Z,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,-119,2236,0,119
138,99,7,0,False,2021-08-01T13:00:00Z,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,-53,2183,0,53
138,105,11,0,True,2021-08-08T13:00:00Z,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,-36,2147,0,36
138,113,16,0,False,2021-08-15T13:00:00Z,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,-56,2091,0,56
138,121,12,0,False,2021-08-22T15:30:00Z,2,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,-36,2055,0,36
