element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
13,1,2,2,True,2021-04-10T13:00:00Z,3,2,1,90,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,4,8,45,0,572,0,0
13,10,6,1,False,2021-04-18T13:00:00Z,1,2,2,89,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,2,45,34,740,61,27
13,21,11,3,True,2021-04-25T15:30:00Z,1,1,3,87,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,3,9,45,1,757,36,35
13,31,7,0,False,2021-05-03T16:30:00Z,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-9,757,36,45
13,38,13,0,True,2021-05-09T15:30:00Z,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-34,731,28,62
13,46,12,0,False,2021-05-13T16:30:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-21,711,8,29
13,53,10,0,True,2021-05-17T16:30:00Z,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-38,675,8,46
13,103,5,0,True,2021-05-20T16:30:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-38,675,8,46
13,64,8,0,False,2021-05-24T16:30:00Z,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-42,633,1,43
13,70,9,0,False,2021-07-03T13:00:00Z,3,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-23,611,4,27
13,78,3,4,True,2021-07-10T13:00:00Z,4,0,10,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,6,45,-15,596,0,15
13,82,16,2,False,2021-07-17T13:00:00Z,0,5,11,63,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,4,5,45,-2,594,6,8
13,93,14,0,False,2021-07-24T13:00:00Z,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-12,583,10,22
13,107,15,2,False,2021-08-07T15:30:00Z,0,0,14,45,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,8,45,-4,556,0,4
13,117,4,3,True,2021-08-14T13:00:00Z,2,3,15,90,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,3,8,45,0,556,2,2
13,126,16,3,True,2021-08-21T13:00:00Z,3,0,16,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,45,-3,554,3,6
