element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
142,3,15,1,False,2021-04-11T13:00:00Z,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,724,0,0
142,10,1,1,True,2021-04-18T13:00:00Z,1,2,2,45,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,6,55,-118,626,3,121
142,17,3,1,True,2021-04-24T13:00:00Z,1,2,3,90,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,3,3,54,-82,552,11,93
142,28,2,0,False,2021-05-01T15:30:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-67,487,1,68
142,35,4,1,False,2021-05-08T13:00:00Z,1,1,5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,53,-52,436,0,52
142,41,8,2,True,2021-05-12T16:30:00Z,2,3,6,90,0,0,0,3,0,0,1,0,0,0,0,2,0,0,0,6,6,53,-21,415,4,25
142,54,14,4,False,2021-05-17T16:30:00Z,1,1,7,90,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,12,5,53,-30,385,0,30
142,59,13,3,True,2021-05-23T15:30:00Z,3,1,8,90,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,7,2,52,15,400,21,6
142,65,12,4,True,2021-07-04T13:00:00Z,2,1,9,90,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,12,7,52,-8,394,7,15
142,77,10,1,False,2021-07-12T17:00:00Z,2,3,10,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,52,17,411,21,4
142,87,9,0,False,2021-07-18T13:00:00Z,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,-11,401,6,17
142,89,5,0,True,2021-07-25T15:30:00Z,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,-31,370,1,32
142,99,7,1,False,2021-08-01T13:00:00Z,2,1,13,90,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,11,5,52,-6,364,3,9
142,105,11,0,True,2021-08-08T13:00:00Z,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,-7,357,6,13
142,113,16,2,False,2021-08-15T13:00:00Z,3,0,15,85,0,0,0,3,0,0,1,0,0,0,0,2,0,1,0,10,9,52,-6,351,3,9
142,121,12,0,False,2021-08-22T15:30:00Z,2,1,16,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,52,-2,350,2,4
