element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
143,3,15,4,False,2021-04-11T13:00:00Z,1,0,1,90,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,7,6,65,0,6002,0,0
143,10,1,0,True,2021-04-18T13:00:00Z,1,2,2,45,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,5,65,-193,6002,49,242
143,17,3,0,True,2021-04-24T13:00:00Z,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,-1826,4191,9,1835
143,28,2,3,False,2021-05-01T15:30:00Z,1,1,4,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,9,3,64,-679,3516,1,680
143,35,4,2,False,2021-05-08T13:00:00Z,1,1,5,90,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,7,0,63,-273,3246,6,279
143,41,8,1,True,2021-05-12T16:30:00Z,2,3,6,90,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,4,63,-89,3163,24,113
143,54,14,3,False,2021-05-17T16:30:00Z,1,1,7,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,9,4,63,-312,2852,3,315
143,59,13,3,True,2021-05-23T15:30:00Z,3,1,8,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7,1,62,-99,2755,11,110
143,65,12,2,True,2021-07-04T13:00:00Z,2,1,9,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,2,61,-58,2703,8,66
143,77,10,2,False,2021-07-12T17:00:00Z,2,3,10,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,8,1,61,-27,2676,9,36
143,87,9,7,False,2021-07-18T13:00:00Z,0,1,11,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,9,1,61,-56,2625,4,60
143,89,5,2,True,2021-07-25T15:30:00Z,1,1,12,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,61,-5,2624,26,31
143,99,7,0,False,2021-08-01T13:00:00Z,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,-41,2585,9,50
143,105,11,7,True,2021-08-08T13:00:00Z,5,0,14,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,3,61,-28,2558,25,53
143,113,16,1,False,2021-08-15T13:00:00Z,3,0,15,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,61,6,2566,29,23
143,121,12,1,False,2021-08-22T15:30:00Z,2,1,16,90,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,5,61,-49,2519,4,53
