element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
145,3,15,3,False,2021-04-11T13:00:00Z,1,0,1,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,9,60,0,5825,0,0
145,10,1,1,True,2021-04-18T13:00:00Z,1,2,2,90,0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,2,7,60,-281,5682,39,320
145,17,3,2,True,2021-04-24T13:00:00Z,1,2,3,90,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,6,2,60,-488,5224,33,521
145,28,2,1,False,2021-05-01T15:30:00Z,1,1,4,90,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,4,4,59,-890,4339,5,895
145,35,4,2,False,2021-05-08T13:00:00Z,1,1,5,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4,59,-540,3799,14,554
145,41,8,8,True,2021-05-12T16:30:00Z,2,3,6,84,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,11,58,-111,3688,49,160
145,54,14,5,False,2021-05-17T16:30:00Z,1,1,7,61,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,3,58,-210,3479,12,222
145,59,13,0,True,2021-05-23T15:30:00Z,3,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,-223,3258,22,245
145,65,12,0,True,2021-07-04T13:00:00Z,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,-197,3062,4,201
145,77,10,0,False,2021-07-12T17:00:00Z,2,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,-191,2871,1,192
145,87,9,0,False,2021-07-18T13:00:00Z,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,-242,2629,1,243
145,89,5,0,True,2021-07-25T15:30:00Z,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,-157,2472,0,157
145,99,7,0,False,2021-08-01T13:00:00Z,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,-84,2388,0,84
145,105,11,0,True,2021-08-08T13:00:00Z,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,-50,2338,0,50
145,113,16,0,False,2021-08-15T13:00:00Z,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,-53,2285,0,53
145,121,12,0,False,2021-08-22T15:30:00Z,2,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,-47,2239,0,47
