element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
146,3,15,1,False,2021-04-11T13:00:00Z,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,388,0,0
146,10,1,1,True,2021-04-18T13:00:00Z,1,2,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,50,-61,347,3,64
146,17,3,0,True,2021-04-24T13:00:00Z,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-47,302,2,49
146,28,2,0,False,2021-05-01T15:30:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-56,246,0,56
146,35,4,0,False,2021-05-08T13:00:00Z,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-40,206,1,41
146,41,8,0,True,2021-05-12T16:30:00Z,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-14,192,1,15
146,54,14,1,False,2021-05-17T16:30:00Z,1,1,7,46,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,3,47,-9,183,1,10
146,59,13,3,True,2021-05-23T15:30:00Z,3,1,8,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,7,47,-6,177,2,8
146,65,12,1,True,2021-07-04T13:00:00Z,2,1,9,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4,46,-3,175,0,3
146,77,10,1,False,2021-07-12T17:00:00Z,2,3,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,46,-2,173,1,3
146,87,9,1,False,2021-07-18T13:00:00Z,0,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,-1,172,1,2
146,89,5,3,True,2021-07-25T15:30:00Z,1,1,12,90,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,9,46,1,173,2,1
146,99,7,1,False,2021-08-01T13:00:00Z,2,1,13,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,46,1,175,2,1
146,105,11,1,True,2021-08-08T13:00:00Z,5,0,14,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,46,2,178,2,0
146,113,16,1,False,2021-08-15T13:00:00Z,3,0,15,51,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,6,5,46,11,189,12,1
146,121,12,0,False,2021-08-22T15:30:00Z,2,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,190,2,2
