element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
147,3,15,0,False,2021-04-11T13:00:00Z,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,223,0,0
147,10,1,0,True,2021-04-18T13:00:00Z,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,-62,167,2,64
147,17,3,3,True,2021-04-24T13:00:00Z,1,2,3,90,0,0,0,2,0,0,0,0,0,0,1,1,1,3,0,2,9,74,-24,144,8,32
147,28,2,6,False,2021-05-01T15:30:00Z,1,1,4,90,0,1,0,1,0,0,0,0,0,0,1,0,2,1,1,4,5,74,17,163,26,9
147,35,4,2,False,2021-05-08T13:00:00Z,1,1,5,90,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,4,74,69,236,87,18
147,41,8,2,True,2021-05-12T16:30:00Z,2,3,6,90,0,0,0,3,0,0,1,0,0,0,1,1,2,1,1,2,6,74,59,298,74,15
147,54,14,1,False,2021-05-17T16:30:00Z,1,1,7,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,74,-40,262,11,51
147,59,13,0,True,2021-05-23T15:30:00Z,3,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,-36,226,4,40
147,65,12,1,True,2021-07-04T13:00:00Z,2,1,9,57,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,74,-5,221,15,20
147,77,10,8,False,2021-07-12T17:00:00Z,2,3,10,90,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,10,4,74,9,230,19,10
147,87,9,4,False,2021-07-18T13:00:00Z,0,1,11,90,0,0,1,0,0,0,0,1,0,0,1,0,3,2,0,3,2,74,19,251,31,12
147,89,5,0,True,2021-07-25T15:30:00Z,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,-13,239,9,22
147,99,7,1,False,2021-08-01T13:00:00Z,2,1,13,75,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,5,4,74,1,240,11,10
147,105,11,9,True,2021-08-08T13:00:00Z,5,0,14,70,0,1,1,0,0,0,0,0,0,0,0,0,1,2,0,3,3,74,30,271,40,10
147,117,4,0,True,2021-08-14T13:00:00Z,2,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,135,406,159,24
147,126,16,8,True,2021-08-21T13:00:00Z,3,0,16,63,0,0,1,0,0,0,0,0,0,0,2,0,3,3,0,3,4,74,122,530,165,43
