element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
148,3,15,3,False,2021-04-11T13:00:00Z,1,0,1,87,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,10,50,0,140,0,0
148,10,1,1,True,2021-04-18T13:00:00Z,1,2,2,72,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,50,8,165,25,17
148,17,3,0,True,2021-04-24T13:00:00Z,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,4,175,19,15
148,28,2,0,False,2021-05-01T15:30:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-47,128,0,47
148,35,4,0,False,2021-05-08T13:00:00Z,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-25,103,0,25
148,41,8,0,True,2021-05-12T16:30:00Z,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-11,92,0,11
148,54,14,0,False,2021-05-17T16:30:00Z,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-9,83,0,9
148,59,13,0,True,2021-05-23T15:30:00Z,3,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-3,80,1,4
148,65,12,1,True,2021-07-04T13:00:00Z,2,1,9,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,47,-1,79,1,2
148,77,10,0,False,2021-07-12T17:00:00Z,2,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,79,1,1
148,87,9,0,False,2021-07-18T13:00:00Z,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,-5,75,1,6
148,89,5,0,True,2021-07-25T15:30:00Z,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,75,0,0
148,99,7,1,False,2021-08-01T13:00:00Z,2,1,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,-4,71,0,4
148,105,11,1,True,2021-08-08T13:00:00Z,5,0,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,71,0,0
148,113,16,0,False,2021-08-15T13:00:00Z,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,71,0,0
148,121,12,0,False,2021-08-22T15:30:00Z,2,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,71,0,0
