element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
154,3,15,2,False,2021-04-11T13:00:00Z,1,0,1,80,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,70,0,4305,0,0
154,10,1,2,True,2021-04-18T13:00:00Z,1,2,2,90,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,2,3,70,-306,4104,74,380
154,17,3,3,True,2021-04-24T13:00:00Z,1,2,3,90,0,0,0,2,0,0,0,0,0,0,0,1,1,2,0,1,6,69,-524,3589,27,551
154,28,2,2,False,2021-05-01T15:30:00Z,1,1,4,83,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,3,69,-695,2897,12,707
154,35,4,8,False,2021-05-08T13:00:00Z,1,1,5,86,0,1,1,0,0,0,0,0,0,0,2,0,3,3,1,0,5,68,-568,2333,34,602
154,41,8,5,True,2021-05-12T16:30:00Z,2,3,6,74,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,2,4,68,76,2418,150,74
154,54,14,3,False,2021-05-17T16:30:00Z,1,1,7,85,0,0,0,1,0,0,0,0,0,0,0,1,2,2,0,1,6,68,-70,2351,96,166
154,59,13,9,True,2021-05-23T15:30:00Z,3,1,8,90,1,0,0,1,0,0,0,0,0,0,1,1,1,4,0,1,8,68,-51,2309,75,126
154,65,12,2,True,2021-07-04T13:00:00Z,2,1,9,90,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,67,-68,2258,127,195
154,77,10,2,False,2021-07-12T17:00:00Z,2,3,10,66,0,0,0,2,0,0,1,0,0,0,0,1,0,2,0,3,6,67,18,2279,121,103
154,87,9,3,False,2021-07-18T13:00:00Z,0,1,11,66,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,67,-170,2111,25,195
154,89,5,2,True,2021-07-25T15:30:00Z,1,1,12,73,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,66,-127,1985,19,146
154,99,7,2,False,2021-08-01T13:00:00Z,2,1,13,55,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,6,66,-80,1905,24,104
154,105,11,6,True,2021-08-08T13:00:00Z,5,0,14,19,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,66,-68,1837,28,96
154,113,16,0,False,2021-08-15T13:00:00Z,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,-17,1823,48,65
154,121,12,7,False,2021-08-22T15:30:00Z,2,1,16,90,0,1,0,2,0,0,0,0,0,0,1,1,2,3,0,2,9,65,-103,1721,14,117
