element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
162,3,15,2,False,2021-04-11T13:00:00Z,1,0,1,90,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,3,95,0,12816,0,0
162,10,1,2,True,2021-04-18T13:00:00Z,1,2,2,90,0,0,0,2,0,0,1,0,0,0,1,0,0,3,0,1,2,95,-550,12921,202,752
162,17,3,7,True,2021-04-24T13:00:00Z,1,2,3,90,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,95,-624,12417,496,1120
162,28,2,7,False,2021-05-01T15:30:00Z,1,1,4,90,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,3,94,-1613,10868,132,1745
162,35,4,2,False,2021-05-08T13:00:00Z,1,1,5,90,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,4,94,-209,10705,465,674
162,41,8,8,True,2021-05-12T16:30:00Z,2,3,6,90,1,0,0,3,0,0,0,0,0,0,1,0,0,3,0,1,5,94,-325,10402,316,641
162,54,14,7,False,2021-05-17T16:30:00Z,1,1,7,90,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,2,94,-979,9438,188,1167
162,59,13,11,True,2021-05-23T15:30:00Z,3,1,8,70,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,93,-106,9351,238,344
162,65,12,0,True,2021-07-04T13:00:00Z,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,-782,8611,422,1204
162,77,10,2,False,2021-07-12T17:00:00Z,2,3,10,90,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,5,94,-367,8249,149,516
162,87,9,1,False,2021-07-18T13:00:00Z,0,1,11,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,94,-393,7861,119,512
162,89,5,7,True,2021-07-25T15:30:00Z,1,1,12,90,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,4,93,-686,7181,62,748
162,99,7,1,False,2021-08-01T13:00:00Z,2,1,13,85,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,4,2,93,-441,6743,96,537
162,105,11,11,True,2021-08-08T13:00:00Z,5,0,14,70,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,93,578,7322,783,205
162,113,16,2,False,2021-08-15T13:00:00Z,3,0,15,90,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,94,795,8130,890,95
162,121,12,1,False,2021-08-22T15:30:00Z,2,1,16,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,-367,7774,130,497
