element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
171,4,5,8,False,2021-04-11T15:30:00Z,0,2,1,90,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,7,11,60,0,4347,0,0
171,12,9,7,True,2021-04-18T15:30:00Z,1,0,2,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,9,3,60,199,5012,298,99
171,22,13,2,False,2021-04-25T13:00:00Z,1,3,3,90,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,6,5,60,306,5455,396,90
171,31,1,3,True,2021-05-03T16:30:00Z,3,1,4,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7,5,60,-128,5371,94,222
171,37,16,2,False,2021-05-09T13:00:00Z,2,0,5,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,4,6,60,-178,5208,76,254
171,42,11,6,True,2021-05-12T16:30:00Z,2,0,6,65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,5,60,-92,5118,36,128
171,50,2,0,False,2021-05-16T15:30:00Z,2,2,7,45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,5,60,-286,4838,19,305
171,60,4,0,True,2021-05-23T15:30:00Z,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,-747,4094,6,753
171,67,8,7,True,2021-07-05T17:00:00Z,3,0,9,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,6,59,-250,3846,6,256
171,74,15,7,False,2021-07-12T17:00:00Z,0,0,10,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7,3,59,-24,3829,15,39
171,83,3,12,True,2021-07-19T17:00:00Z,5,1,11,61,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,59,10,3846,50,40
171,92,10,7,False,2021-07-25T13:00:00Z,0,1,12,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8,5,59,249,4117,280,31
171,99,6,8,True,2021-08-01T13:00:00Z,2,1,13,90,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,2,60,296,4434,336,40
171,106,12,0,True,2021-08-08T13:00:00Z,1,4,14,90,0,0,0,4,0,0,1,0,0,0,0,1,0,1,0,3,8,60,463,4909,503,40
171,118,14,0,False,2021-08-15T13:00:00Z,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,578,5492,915,337
171,122,14,8,True,2021-08-23T17:00:00Z,0,0,16,90,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,10,8,61,168,5678,325,157
