element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
173,4,5,0,False,2021-04-11T15:30:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,77,0,0
173,12,9,0,True,2021-04-18T15:30:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-8,69,1,9
173,22,13,0,False,2021-04-25T13:00:00Z,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-4,67,0,4
173,31,1,0,True,2021-05-03T16:30:00Z,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-5,62,0,5
173,37,16,0,False,2021-05-09T13:00:00Z,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-6,57,0,6
173,42,11,0,True,2021-05-12T16:30:00Z,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-2,55,0,2
173,50,2,0,False,2021-05-16T15:30:00Z,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-1,54,0,1
173,60,4,0,True,2021-05-23T15:30:00Z,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-4,50,0,4
173,67,8,0,True,2021-07-05T17:00:00Z,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,51,0,0
173,74,15,0,False,2021-07-12T17:00:00Z,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1,52,1,0
173,83,3,1,True,2021-07-19T17:00:00Z,5,1,11,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,48,-1,51,0,1
173,92,10,1,False,2021-07-25T13:00:00Z,0,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,48,1,52,1,0
173,99,6,1,True,2021-08-01T13:00:00Z,2,1,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,48,0,53,0,0
173,106,12,0,True,2021-08-08T13:00:00Z,1,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1,55,1,0
173,118,14,1,False,2021-08-15T13:00:00Z,0,1,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,48,4,59,5,1
173,122,14,0,True,2021-08-23T17:00:00Z,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-3,56,0,3
