element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
178,4,5,0,False,2021-04-11T15:30:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,45,0,0
178,12,9,0,True,2021-04-18T15:30:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-8,42,2,10
178,22,13,0,False,2021-04-25T13:00:00Z,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-6,36,0,6
178,31,1,0,True,2021-05-03T16:30:00Z,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-3,33,0,3
178,37,16,1,False,2021-05-09T13:00:00Z,2,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-3,30,0,3
178,42,11,0,True,2021-05-12T16:30:00Z,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-1,29,0,1
178,50,2,0,False,2021-05-16T15:30:00Z,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-2,27,0,2
178,60,4,0,True,2021-05-23T15:30:00Z,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-1,26,0,1
178,67,8,0,True,2021-07-05T17:00:00Z,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,-1,25,0,1
178,74,15,0,False,2021-07-12T17:00:00Z,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,25,0,0
178,83,3,0,True,2021-07-19T17:00:00Z,5,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,25,0,0
178,92,10,0,False,2021-07-25T13:00:00Z,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,-1,24,0,1
178,99,6,0,True,2021-08-01T13:00:00Z,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,24,0,0
178,106,12,0,True,2021-08-08T13:00:00Z,1,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,-1,23,0,1
178,118,14,0,False,2021-08-15T13:00:00Z,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,23,0,0
178,122,14,0,True,2021-08-23T17:00:00Z,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,23,0,0
