element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
17,1,2,0,True,2021-04-10T13:00:00Z,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,395,0,0
17,10,6,0,False,2021-04-18T13:00:00Z,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-42,371,2,44
17,21,11,0,True,2021-04-25T15:30:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-35,336,1,36
17,31,7,0,False,2021-05-03T16:30:00Z,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-48,288,0,48
17,38,13,0,True,2021-05-09T15:30:00Z,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-25,263,0,25
17,46,12,0,False,2021-05-13T16:30:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-9,254,0,9
17,53,10,0,True,2021-05-17T16:30:00Z,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-9,245,0,9
17,103,5,0,True,2021-05-20T16:30:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-9,245,0,9
17,64,8,0,False,2021-05-24T16:30:00Z,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-8,237,1,9
17,70,9,1,False,2021-07-03T13:00:00Z,3,2,9,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,49,-7,230,5,12
17,78,3,3,True,2021-07-10T13:00:00Z,4,0,10,69,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,4,49,6,236,6,0
17,82,16,4,False,2021-07-17T13:00:00Z,0,5,11,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,10,49,15,252,15,0
17,93,14,3,False,2021-07-24T13:00:00Z,0,2,12,45,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,2,8,49,22,274,28,6
17,107,15,1,False,2021-08-07T15:30:00Z,0,0,14,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,49,1,275,6,5
17,117,4,0,True,2021-08-14T13:00:00Z,2,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-3,274,8,11
17,126,16,1,True,2021-08-21T13:00:00Z,3,0,16,26,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,49,-3,272,4,7
