element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
184,4,5,0,False,2021-04-11T15:30:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,2065,0,0
184,12,9,2,True,2021-04-18T15:30:00Z,1,0,2,45,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,7,70,-348,1750,2,350
184,22,13,0,False,2021-04-25T13:00:00Z,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,-201,1551,1,202
184,31,1,0,True,2021-05-03T16:30:00Z,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,-218,1334,0,218
184,37,16,1,False,2021-05-09T13:00:00Z,2,0,5,24,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,68,-151,1183,0,151
184,42,11,0,True,2021-05-12T16:30:00Z,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,-53,1132,0,53
184,50,2,0,False,2021-05-16T15:30:00Z,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,-51,1081,0,51
184,60,4,0,True,2021-05-23T15:30:00Z,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,-47,1034,0,47
184,67,8,0,True,2021-07-05T17:00:00Z,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,-16,1018,0,16
184,74,15,0,False,2021-07-12T17:00:00Z,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,-7,1011,0,7
184,83,3,0,True,2021-07-19T17:00:00Z,5,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,-8,1004,0,8
184,92,10,0,False,2021-07-25T13:00:00Z,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,-13,991,0,13
184,99,6,0,True,2021-08-01T13:00:00Z,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,-9,982,0,9
184,106,12,0,True,2021-08-08T13:00:00Z,1,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,-9,973,0,9
184,118,7,1,True,2021-08-15T13:00:00Z,0,1,15,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,66,5,978,9,4
184,122,7,3,False,2021-08-23T17:00:00Z,0,0,16,71,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3,66,-1,977,5,6
