element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
189,4,5,0,False,2021-04-11T15:30:00Z,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,146,0,0
189,12,9,0,True,2021-04-18T15:30:00Z,1.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,-40,114,2,42
189,22,13,1,False,2021-04-25T13:00:00Z,1.0,3.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,-26,89,0,26
189,31,1,0,True,2021-05-03T16:30:00Z,3.0,1.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,-11,79,1,12
189,37,16,0,False,2021-05-09T13:00:00Z,2.0,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,-7,72,0,7
189,42,11,0,True,2021-05-12T16:30:00Z,2.0,0.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,-3,70,0,3
189,50,2,0,False,2021-05-16T15:30:00Z,2.0,2.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,-7,64,0,7
189,60,4,0,True,2021-05-23T15:30:00Z,0.0,0.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,-3,61,0,3
189,67,8,0,True,2021-07-05T17:00:00Z,3.0,0.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,1,63,3,2
189,74,15,0,False,2021-07-12T17:00:00Z,0.0,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,-1,63,0,1
189,83,3,0,True,2021-07-19T17:00:00Z,5.0,1.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,63,0,0
189,92,10,0,False,2021-07-25T13:00:00Z,0.0,1.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,-1,62,0,1
189,99,6,0,True,2021-08-01T13:00:00Z,2.0,1.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,62,0,0
189,106,12,0,True,2021-08-08T13:00:00Z,1.0,4.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,-1,61,0,1
189,118,14,0,False,2021-08-15T13:00:00Z,0.0,1.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,-1,60,0,1
189,122,14,0,True,2021-08-23T17:00:00Z,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,60,1,1
