element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
190,4,5,0,False,2021-04-11T15:30:00Z,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,826,0,0
190,12,9,1,True,2021-04-18T15:30:00Z,1.0,0.0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,-199,731,5,204
190,22,13,0,False,2021-04-25T13:00:00Z,1.0,3.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,-82,668,12,94
190,31,1,1,True,2021-05-03T16:30:00Z,3.0,1.0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,83,-107,564,3,110
190,37,16,0,False,2021-05-09T13:00:00Z,2.0,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,-43,525,5,48
190,42,11,1,True,2021-05-12T16:30:00Z,2.0,0.0,6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,82,-24,503,1,25
190,50,2,1,False,2021-05-16T15:30:00Z,2.0,2.0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,82,-12,494,3,15
190,60,4,1,True,2021-05-23T15:30:00Z,0.0,0.0,8,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,82,-17,479,4,21
190,67,8,4,True,2021-07-05T17:00:00Z,3.0,0.0,9,61,0,0,1,0,0,0,0,0,0,0,2,0,3,4,1,0,1,81,7,492,13,6
190,74,15,1,False,2021-07-12T17:00:00Z,0.0,0.0,10,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,81,21,520,24,3
190,83,3,1,True,2021-07-19T17:00:00Z,5.0,1.0,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,81,5,529,13,8
190,92,10,2,False,2021-07-25T13:00:00Z,0.0,1.0,12,14,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,81,-18,511,2,20
190,99,6,5,True,2021-08-01T13:00:00Z,2.0,1.0,13,65,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,81,-16,496,4,20
190,106,12,2,True,2021-08-08T13:00:00Z,1.0,4.0,14,71,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,81,-2,494,4,6
190,118,14,2,False,2021-08-15T13:00:00Z,0.0,1.0,15,64,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,81,10,505,16,6
190,122,14,0,True,2021-08-23T17:00:00Z,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,6,514,12,6
