element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
20,1,2,0,True,2021-04-10T13:00:00Z,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,104,0,0
20,10,6,0,False,2021-04-18T13:00:00Z,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-17,89,0,17
20,21,11,0,True,2021-04-25T15:30:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-4,85,5,9
20,31,7,0,False,2021-05-03T16:30:00Z,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-6,80,3,9
20,38,13,1,True,2021-05-09T15:30:00Z,3,2,5,39,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,44,-8,72,3,11
20,46,12,2,False,2021-05-13T16:30:00Z,1,1,6,90,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,8,43,36,108,39,3
20,53,10,2,True,2021-05-17T16:30:00Z,3,1,7,90,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,5,11,43,104,212,112,8
20,103,5,2,True,2021-05-20T16:30:00Z,2,1,7,90,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,4,43,104,212,112,8
20,64,8,6,False,2021-05-24T16:30:00Z,1,2,8,90,0,1,0,1,0,0,0,0,0,0,1,0,0,3,0,1,4,43,59,277,83,24
20,70,9,1,False,2021-07-03T13:00:00Z,3,2,9,45,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,3,43,70,361,115,45
20,78,3,0,True,2021-07-10T13:00:00Z,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,18,381,60,42
20,82,16,0,False,2021-07-17T13:00:00Z,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,-12,371,24,36
20,93,14,1,False,2021-07-24T13:00:00Z,0,2,12,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,43,-1,373,41,42
20,107,15,0,False,2021-08-07T15:30:00Z,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,7,386,45,38
20,117,4,0,True,2021-08-14T13:00:00Z,2,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,-53,335,22,75
20,126,16,0,True,2021-08-21T13:00:00Z,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,-65,270,1,66
