element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
210,2,4,1,True,2021-04-10T15:30:00Z,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55,0,824,0,0
210,14,11,2,False,2021-04-18T13:00:00Z,5,0,2,45,0,0,0,2,0,0,0,0,0,0,1,0,2,3,0,0,3,55,-68,790,7,75
210,20,10,2,False,2021-04-25T13:00:00Z,1,0,3,90,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,3,8,55,-74,722,4,78
210,29,9,3,True,2021-05-02T13:00:00Z,0,3,4,90,0,0,0,3,0,0,1,0,0,0,1,1,0,3,0,2,11,54,-59,664,0,59
210,36,15,1,True,2021-05-08T15:30:00Z,1,0,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,54,-40,627,7,47
210,41,6,1,False,2021-05-12T16:30:00Z,2,3,6,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,54,-46,581,1,47
210,49,16,3,False,2021-05-18T16:30:00Z,3,0,7,90,0,0,0,3,0,0,0,0,0,0,0,1,1,2,0,0,11,53,-29,552,3,32
210,64,1,2,True,2021-05-24T16:30:00Z,1,2,8,90,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,3,53,-24,528,1,25
210,67,7,1,False,2021-07-05T17:00:00Z,3,0,9,56,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,52,-15,513,0,15
210,76,5,2,False,2021-07-11T15:30:00Z,2,1,10,81,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,6,52,-8,505,0,8
210,88,2,0,True,2021-07-18T13:00:00Z,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,-27,478,0,27
210,95,12,1,True,2021-07-26T17:00:00Z,1,1,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,52,-6,472,2,8
210,101,3,4,False,2021-08-02T17:00:00Z,1,2,13,90,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,2,13,52,-4,468,0,4
210,112,14,2,True,2021-08-07T15:30:00Z,2,2,14,90,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,3,52,-1,468,3,4
210,119,13,3,False,2021-08-16T17:00:00Z,1,0,15,90,0,0,0,1,0,0,1,0,0,0,0,2,1,0,0,4,12,52,-8,460,1,9
210,127,3,1,True,2021-08-22T15:30:00Z,1,1,16,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,52,0,460,3,3
