element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
215,2,4,5,True,2021-04-10T15:30:00Z,0,0,1,90,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,9,9,45,0,694,0,0
215,14,11,2,False,2021-04-18T13:00:00Z,5,0,2,90,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,5,5,45,134,988,179,45
215,20,10,4,False,2021-04-25T13:00:00Z,1,0,3,79,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,7,45,-25,977,39,64
215,29,9,2,True,2021-05-02T13:00:00Z,0,3,4,90,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,45,34,1026,96,62
215,36,15,5,True,2021-05-08T15:30:00Z,1,0,5,90,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,9,12,45,10,1046,84,74
215,41,6,8,False,2021-05-12T16:30:00Z,2,3,6,90,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,4,8,45,95,1149,136,41
215,49,16,3,False,2021-05-18T16:30:00Z,3,0,7,79,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,2,8,45,389,1547,422,33
215,64,1,4,True,2021-05-24T16:30:00Z,1,2,8,90,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,6,8,45,88,1644,151,63
215,67,7,2,False,2021-07-05T17:00:00Z,3,0,9,90,0,0,0,3,0,0,1,0,0,0,0,1,0,2,0,4,6,46,4,1660,90,86
215,76,5,2,False,2021-07-11T15:30:00Z,2,1,10,90,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,46,14,1679,71,57
215,88,2,1,True,2021-07-18T13:00:00Z,0,2,11,90,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,46,32,1716,89,57
215,95,12,2,True,2021-07-26T17:00:00Z,1,1,12,80,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,6,3,46,-7,1712,63,70
215,101,3,0,False,2021-08-02T17:00:00Z,1,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,-189,1525,14,203
215,112,14,1,True,2021-08-07T15:30:00Z,2,2,14,46,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,46,-82,1443,7,89
215,119,13,3,False,2021-08-16T17:00:00Z,1,0,15,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,7,46,-134,1309,4,138
215,127,3,7,True,2021-08-22T15:30:00Z,1,1,16,78,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,7,4,46,-97,1212,1,98
