element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
220,5,3,3,True,2021-04-11T15:30:00Z,1,1,1,90,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,10,60,0,11415,0,0
220,12,7,4,False,2021-04-18T15:30:00Z,1,0,2,90,0,0,0,1,0,0,0,0,5,0,0,1,0,0,0,0,11,60,-247,11535,70,317
220,19,15,4,True,2021-04-25T13:00:00Z,2,1,3,90,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,12,60,-399,11195,54,453
220,29,8,9,False,2021-05-02T13:00:00Z,0,3,4,90,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,13,60,-446,10785,32,478
220,40,12,10,True,2021-05-10T16:30:00Z,2,0,5,90,0,0,1,0,0,0,0,0,7,0,0,2,0,0,0,2,13,60,-237,10566,78,315
220,48,16,2,True,2021-05-13T16:30:00Z,1,1,6,90,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,5,60,171,10763,272,101
220,55,13,4,False,2021-05-17T16:30:00Z,2,1,7,90,0,0,0,2,0,0,0,0,3,0,0,2,0,0,0,2,12,60,-199,10588,91,290
220,63,5,5,False,2021-05-24T16:30:00Z,1,0,8,90,0,0,0,1,0,0,0,0,4,0,0,2,0,0,0,2,18,60,-33,10575,162,195
220,70,1,4,True,2021-07-03T13:00:00Z,3,2,9,90,0,0,0,2,0,0,0,0,5,0,0,2,0,0,0,1,16,59,-199,10402,100,299
220,79,14,7,False,2021-07-11T13:00:00Z,0,1,10,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,9,59,-88,10326,105,193
220,87,6,2,True,2021-07-18T13:00:00Z,0,1,11,90,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,5,59,-54,10284,91,145
220,90,2,4,False,2021-07-25T15:30:00Z,2,1,12,90,0,0,0,2,0,0,0,0,4,0,0,2,0,0,0,1,14,59,-155,10141,72,227
220,100,4,5,False,2021-08-02T17:00:00Z,1,2,13,90,0,0,0,1,0,0,0,0,4,0,0,2,0,0,0,3,14,59,-113,10042,76,189
220,110,10,2,True,2021-08-09T17:00:00Z,1,2,14,90,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,1,6,59,-74,9972,77,151
220,120,11,8,False,2021-08-15T15:30:00Z,1,2,15,90,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,6,59,-155,9829,60,215
220,123,15,2,False,2021-08-22T13:00:00Z,2,1,16,90,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,8,59,-163,9671,46,209
