element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
229,5,3,2,True,2021-04-11T15:30:00Z,1,1,1,90,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,8,5,55,0,3399,0,0
229,12,7,4,False,2021-04-18T15:30:00Z,1,0,2,90,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,9,8,55,-152,3318,13,165
229,19,15,3,True,2021-04-25T13:00:00Z,2,1,3,90,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,6,55,-150,3174,64,214
229,29,8,7,False,2021-05-02T13:00:00Z,0,3,4,90,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,3,8,55,-134,3046,48,182
229,40,12,7,True,2021-05-10T16:30:00Z,2,0,5,90,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,8,4,55,-185,2866,53,238
229,48,16,2,True,2021-05-13T16:30:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,5,55,162,3031,216,54
229,55,13,3,False,2021-05-17T16:30:00Z,2,1,7,90,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,6,7,55,-293,2743,53,346
229,63,5,3,False,2021-05-24T16:30:00Z,1,0,8,84,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,8,54,-65,2683,44,109
229,70,1,0,True,2021-07-03T13:00:00Z,3,2,9,55,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,5,54,-155,2536,28,183
229,79,14,5,False,2021-07-11T13:00:00Z,0,1,10,73,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,2,54,-159,2379,12,171
229,87,6,2,True,2021-07-18T13:00:00Z,0,1,11,90,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,3,54,-70,2310,25,95
229,90,2,2,False,2021-07-25T15:30:00Z,2,1,12,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,7,4,53,-64,2248,29,93
229,100,4,8,False,2021-08-02T17:00:00Z,1,2,13,90,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,4,7,53,-12,2240,60,72
229,110,10,0,True,2021-08-09T17:00:00Z,1,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,-75,2165,61,136
229,120,11,2,False,2021-08-15T15:30:00Z,1,2,15,77,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,53,85,2251,150,65
229,123,15,0,False,2021-08-22T13:00:00Z,2,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,-17,2234,60,77
