element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
230,5,3,0,True,2021-04-11T15:30:00Z,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,249,0,0
230,12,7,1,False,2021-04-18T15:30:00Z,1,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,54,-59,191,0,59
230,19,15,0,True,2021-04-25T13:00:00Z,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-37,155,2,39
230,29,8,0,False,2021-05-02T13:00:00Z,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,-32,123,0,32
230,40,12,0,True,2021-05-10T16:30:00Z,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,-21,102,0,21
230,48,16,0,True,2021-05-13T16:30:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,-12,90,0,12
230,55,13,1,False,2021-05-17T16:30:00Z,2,1,7,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,51,-4,88,3,7
230,63,5,0,False,2021-05-24T16:30:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,89,1,1
230,70,1,0,True,2021-07-03T13:00:00Z,3,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,-5,84,0,5
230,79,14,0,False,2021-07-11T13:00:00Z,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,-3,81,0,3
230,87,6,0,True,2021-07-18T13:00:00Z,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,-3,78,0,3
230,90,2,0,False,2021-07-25T15:30:00Z,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,79,1,0
230,100,4,0,False,2021-08-02T17:00:00Z,1,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,-6,73,0,6
230,110,10,0,True,2021-08-09T17:00:00Z,1,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,73,0,0
230,120,11,0,False,2021-08-15T15:30:00Z,1,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,74,1,0
230,123,15,0,False,2021-08-22T13:00:00Z,2,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,-3,72,0,3
